コードA,銘柄A,業種A,コードB,銘柄B,業種B,相関
4365.T,松本油脂製薬,化学,2816.T,ダイショー,食料品,0.927
2186.T,ソーバル,サービス業,2683.T,魚喜,小売業,0.925
3065.T,ライフフーズ,小売業,9661.T,歌舞伎座,サービス業,0.913
7514.T,ヒマラヤ,小売業,9661.T,歌舞伎座,サービス業,0.909
3065.T,ライフフーズ,小売業,2816.T,ダイショー,食料品,0.907
2798.T,ワイズテーブルコーポレーション,小売業,9661.T,歌舞伎座,サービス業,0.905
2186.T,ソーバル,サービス業,3065.T,ライフフーズ,小売業,0.901
2816.T,ダイショー,食料品,9656.T,グリーンランドリゾート,サービス業,0.899
2683.T,魚喜,小売業,2816.T,ダイショー,食料品,0.897
2683.T,魚喜,小売業,9661.T,歌舞伎座,サービス業,0.896
4365.T,松本油脂製薬,化学,3065.T,ライフフーズ,小売業,0.893
3065.T,ライフフーズ,小売業,2818.T,ピエトロ,食料品,0.891
9950.T,ハチバン,小売業,2816.T,ダイショー,食料品,0.891
2169.T,ＣＤＳ,サービス業,2816.T,ダイショー,食料品,0.89
4365.T,松本油脂製薬,化学,2818.T,ピエトロ,食料品,0.887
3059.T,ヒラキ,小売業,2816.T,ダイショー,食料品,0.882
2818.T,ピエトロ,食料品,9656.T,グリーンランドリゾート,サービス業,0.881
4365.T,松本油脂製薬,化学,2904.T,一正蒲鉾,食料品,0.881
4365.T,松本油脂製薬,化学,9656.T,グリーンランドリゾート,サービス業,0.88
4365.T,松本油脂製薬,化学,2683.T,魚喜,小売業,0.879
3059.T,ヒラキ,小売業,2818.T,ピエトロ,食料品,0.877
3800.T,ユニリタ,情報・通信業,2816.T,ダイショー,食料品,0.877
2683.T,魚喜,小売業,2818.T,ピエトロ,食料品,0.875
4365.T,松本油脂製薬,化学,2883.T,大冷,食料品,0.875
2186.T,ソーバル,サービス業,7514.T,ヒマラヤ,小売業,0.873
4365.T,松本油脂製薬,化学,2169.T,ＣＤＳ,サービス業,0.872
7514.T,ヒマラヤ,小売業,2816.T,ダイショー,食料品,0.872
9950.T,ハチバン,小売業,2818.T,ピエトロ,食料品,0.871
3065.T,ライフフーズ,小売業,2904.T,一正蒲鉾,食料品,0.87
4623.T,アサヒペン,化学,2816.T,ダイショー,食料品,0.869
4365.T,松本油脂製薬,化学,3800.T,ユニリタ,情報・通信業,0.868
