コード,終値,日付
3600.T,1729.0,2026-07-23
7034.T,399.0,2026-07-23
9885.T,334.0,2026-07-23
3189.T,99.0,2026-07-23
1897.T,3100.0,2026-07-23
7297.T,889.0,2026-07-23
2484.T,135.0,2026-07-23
6513.T,1064.0,2026-07-23
6771.T,656.0,2026-07-23
2055.T,328.0,2026-07-23
8617.T,563.0,2026-07-23
4387.T,470.0,2026-07-23
6986.T,592.0,2026-07-23
5956.T,597.0,2026-07-23
7399.T,598.0,2026-07-23
7427.T,822.0,2026-07-23
6943.T,4995.0,2026-07-23
5658.T,375.0,2026-07-23
2788.T,384.0,2026-07-23
8881.T,682.0,2026-07-23
8917.T,1127.0,2026-07-23
5900.T,847.0,2026-07-23
7879.T,646.0,2026-07-23
5921.T,4075.0,2026-07-23
6222.T,869.0,2026-07-23
5753.T,2390.0,2026-07-23
5962.T,1900.0,2026-07-22
8013.T,374.0,2026-07-23
8746.T,102.0,2026-07-23
6390.T,1320.0,2026-07-23
5603.T,1307.0,2026-07-23
8040.T,1029.0,2026-07-23
8138.T,4055.0,2026-07-22
6249.T,2564.0,2026-07-23
4102.T,1434.0,2026-07-23
7902.T,1108.0,2026-07-23
3787.T,277.0,2026-07-23
6155.T,509.0,2026-07-23
6049.T,242.0,2026-07-23
8144.T,1275.0,2026-07-23
8891.T,2105.0,2026-07-23
5280.T,2340.0,2026-07-23
6964.T,683.0,2026-07-23
5909.T,1011.0,2026-07-23
6257.T,1014.0,2026-07-23
5923.T,1140.0,2026-07-23
3396.T,860.0,2026-07-23
8904.T,849.0,2026-07-23
8165.T,110.0,2026-07-23
8772.T,838.0,2026-07-23
7851.T,187.0,2026-07-23
4234.T,706.0,2026-07-23
3261.T,401.0,2026-07-23
9767.T,1500.0,2026-07-23
5408.T,643.0,2026-07-23
5928.T,295.0,2026-07-23
7442.T,491.0,2026-07-23
2388.T,39.0,2026-07-23
4624.T,3525.0,2026-07-23
7219.T,2550.0,2026-07-23
7857.T,1282.0,2026-07-23
6467.T,329.0,2026-07-23
7266.T,917.0,2026-07-23
9914.T,763.0,2026-07-23
8995.T,792.0,2026-07-23
1994.T,537.0,2026-07-23
9162.T,234.0,2026-07-23
8046.T,905.0,2026-07-23
5988.T,1673.0,2026-07-23
8147.T,1420.0,2026-07-23
7624.T,141.0,2026-07-23
8119.T,794.0,2026-07-23
4341.T,883.0,2026-07-23
7538.T,375.0,2026-07-23
9929.T,471.0,2026-07-23
7877.T,2121.0,2026-07-22
9872.T,923.0,2026-07-23
6262.T,551.0,2026-07-23
4839.T,1015.0,2026-07-23
6228.T,495.0,2026-07-23
2193.T,115.0,2026-07-23
2499.T,295.0,2026-07-23
7991.T,1118.0,2026-07-23
7887.T,1521.0,2026-07-23
7841.T,1090.0,2026-07-23
6346.T,5800.0,2026-07-23
6054.T,109.0,2026-07-23
5918.T,7070.0,2026-07-23
4231.T,1026.0,2026-07-23
2917.T,952.0,2026-07-23
1420.T,647.0,2026-07-23
6867.T,419.0,2026-07-23
3439.T,669.0,2026-07-23
1758.T,2460.0,2026-07-23
7871.T,941.0,2026-07-23
7347.T,777.0,2026-07-23
8135.T,427.0,2026-07-23
3320.T,1336.0,2026-07-23
9854.T,267.0,2026-07-23
3426.T,1299.0,2026-07-23
5541.T,2333.0,2026-07-23
6393.T,3035.0,2026-07-23
4629.T,1900.0,2026-07-23
5971.T,8110.0,2026-07-22
7531.T,1295.0,2026-07-22
4569.T,1170.0,2026-07-23
7434.T,1800.0,2026-07-23
3246.T,658.0,2026-07-23
6342.T,2846.0,2026-07-22
5984.T,740.0,2026-07-23
5697.T,730.0,2026-07-23
3420.T,1600.0,2026-07-23
1850.T,435.0,2026-07-23
7937.T,2643.0,2026-07-23
4224.T,2151.0,2026-07-23
4705.T,785.0,2026-07-23
7670.T,1082.0,2026-07-23
6694.T,639.0,2026-07-23
2795.T,974.0,2026-07-22
3758.T,243.0,2026-07-23
5951.T,1052.0,2026-07-23
7435.T,1219.0,2026-07-23
7422.T,372.0,2026-07-23
3236.T,280.0,2026-07-23
5819.T,1756.0,2026-07-23
3161.T,656.0,2026-07-23
7175.T,1668.0,2026-07-23
5946.T,2073.0,2026-07-23
8938.T,368.0,2026-07-23
6292.T,822.0,2026-07-23
3668.T,383.0,2026-07-23
6748.T,744.0,2026-07-23
9972.T,278.0,2026-07-23
6335.T,680.0,2026-07-23
7021.T,1940.0,2026-07-23
2814.T,3105.0,2026-07-23
6899.T,2427.0,2026-07-23
7997.T,1030.0,2026-07-23
4360.T,814.0,2026-07-23
5187.T,1148.0,2026-07-23
5446.T,1129.0,2026-07-23
3632.T,392.0,2026-07-23
6718.T,2798.0,2026-07-23
9876.T,229.0,2026-07-23
8869.T,827.0,2026-07-23
5282.T,431.0,2026-07-23
3537.T,1680.0,2026-07-23
8595.T,2320.0,2026-07-23
6497.T,1353.0,2026-07-23
2168.T,1568.0,2026-07-23
7264.T,1355.0,2026-07-23
5079.T,2561.0,2026-07-23
7122.T,2359.0,2026-07-23
8281.T,1095.0,2026-07-23
3765.T,2310.0,2026-07-23
1853.T,327.0,2026-07-23
7218.T,1040.0,2026-07-23
7908.T,237.0,2026-07-23
4627.T,1723.0,2026-07-23
4243.T,923.0,2026-07-23
4625.T,746.0,2026-07-23
7521.T,2634.0,2026-07-23
5986.T,238.0,2026-07-23
6743.T,900.0,2026-07-23
6150.T,2831.0,2026-07-23
7975.T,1101.0,2026-07-23
5966.T,2595.0,2026-07-23
3477.T,860.0,2026-07-23
7464.T,1537.0,2026-07-22
4365.T,19750.0,2026-07-23
3639.T,231.0,2026-07-23
7865.T,335.0,2026-07-23
2491.T,457.0,2026-07-23
5078.T,4845.0,2026-07-23
3054.T,242.0,2026-07-23
3297.T,1165.0,2026-07-23
5915.T,2202.0,2026-07-23
8584.T,3715.0,2026-07-23
7279.T,2227.0,2026-07-23
9895.T,1275.0,2026-07-23
6159.T,1810.0,2026-07-23
2489.T,307.0,2026-07-23
8159.T,3375.0,2026-07-23
3954.T,2846.0,2026-07-23
143A.T,691.0,2026-07-23
4644.T,1050.0,2026-07-23
3710.T,619.0,2026-07-23
8076.T,2077.0,2026-07-23
7486.T,781.0,2026-07-23
7985.T,791.0,2026-07-23
7957.T,1926.0,2026-07-23
3131.T,3560.0,2026-07-23
5969.T,1170.0,2026-07-22
7885.T,1083.0,2026-07-23
3134.T,283.0,2026-07-23
6325.T,405.0,2026-07-23
6797.T,1144.0,2026-07-23
7628.T,1149.0,2026-07-23
6276.T,304.0,2026-07-23
