コード,増収(年),増益(年),増収増益(年),売上トレンド
3600.T,0,0,0,54 → 57 → 58 → 56(億)
7034.T,2,0,0,27 → 27 → 48 → 123(億)
5856.T,0,1,0,155 → 179 → 190 → 103(億)
9885.T,0,0,0,156 → 133 → 132 → 115(億)
3189.T,0,0,0,51 → 42 → 27 → 18(億)
1897.T,0,0,0,99 → 107 → 97 → 88(億)
7297.T,0,0,0,159 → 166 → 160 → 155(億)
2484.T,0,0,0,473 → 514 → 504 → 397(億)
6513.T,1,1,1,323 → 320 → 282 → 288(億)
6771.T,0,0,0,185 → 221 → 216 → 207(億)
2055.T,0,0,0,449 → 547 → 529 → 486(億)
8617.T,0,0,0,4 → 4 → 15 → 6(億)
4387.T,1,1,1,34 → 34 → 29 → 30(億)
6986.T,0,2,0,534 → 603 → 564 → 481(億)
5956.T,3,1,1,209 → 213 → 216 → 228(億)
7399.T,1,1,1,92 → 98 → 89 → 98(億)
7427.T,0,0,0,919 → 970 → 1074 → 1064(億)
6943.T,0,0,0,89 → 103 → 94 → 76(億)
5658.T,0,0,0,307 → 341 → 345 → 341(億)
2788.T,0,0,0,292 → 309 → 438 → 408(億)
8881.T,0,0,0,815 → 823 → 810 → 762(億)
8917.T,1,0,0,400 → 434 → 360 → 429(億)
5900.T,3,0,0,99 → 106 → 109 → 110(億)
7879.T,0,1,0,810 → 732 → 670 → 647(億)
5921.T,0,0,0,220 → 260 → 276 → 242(億)
6222.T,0,0,0,310 → 379 → 359 → 325(億)
5753.T,1,1,1,261 → 272 → 233 → 261(億)
5962.T,0,0,0,86 → 86 → 86 → 84(億)
8013.T,3,0,0,127 → 130 → 132 → 134(億)
8746.T,2,0,0,52 → 46 → 53 → 95(億)
6390.T,0,0,0,635 → 575 → 575 → 529(億)
5603.T,1,3,1,231 → 267 → 260 → 263(億)
8040.T,3,0,0,142 → 150 → 157 → 161(億)
8138.T,1,3,1,242 → 267 → 262 → 271(億)
6249.T,3,0,0,114 → 217 → 363 → 379(億)
4102.T,0,0,0,116 → 126 → 129 → 128(億)
7902.T,1,0,0,23 → 22 → 21 → 24(億)
3787.T,0,0,0,6 → 6 → 5 → 4(億)
6155.T,0,0,0,167 → 167 → 142 → 139(億)
6049.T,0,1,0,40 → 39 → 39 → 37(億)
8144.T,0,1,0,537 → 528 → 546 → 543(億)
8891.T,3,0,0,164 → 228 → 291 → 304(億)
5280.T,2,2,2,201 → 147 → 239 → 275(億)
6964.T,0,0,0,141 → 157 → 169 → 168(億)
5909.T,1,0,0,786 → 853 → 820 → 852(億)
6257.T,0,0,0,296 → 349 → 370 → 346(億)
5923.T,0,0,0,157 → 160 → 197 → 185(億)
3396.T,0,1,0,337 → 322 → 296 → 294(億)
8904.T,0,1,0,588 → 582 → 710 → 693(億)
8165.T,0,3,0,589 → 492 → 459 → 421(億)
8772.T,3,3,3,57 → 62 → 68 → 75(億)
7851.T,3,2,2,25 → 25 → 26 → 28(億)
4234.T,1,0,0,287 → 279 → 275 → 294(億)
3261.T,0,0,0,27 → 46 → 42 → 34(億)
9767.T,0,0,0,83 → 62 → 62 → 55(億)
5408.T,0,0,0,1667 → 1885 → 1844 → 1693(億)
5928.T,0,0,0,95 → 97 → 94 → 83(億)
7442.T,1,1,1,427 → 399 → 386 → 409(億)
2388.T,0,1,0,7 → 8 → 9 → 8(億)
4624.T,3,3,3,71 → 76 → 80 → 82(億)
7219.T,0,1,0,86 → 92 → 90 → 90(億)
7857.T,3,0,0,112 → 119 → 120 → 123(億)
6467.T,2,3,2,123 → 108 → 113 → 116(億)
7266.T,0,2,0,852 → 997 → 997 → 943(億)
9914.T,0,0,0,61 → 65 → 73 → 63(億)
8995.T,1,0,0,31 → 35 → 32 → 33(億)
1994.T,0,0,0,75 → 73 → 94 → 73(億)
9162.T,0,0,0,81 → 146 → 164 → 138(億)
8046.T,1,3,1,319 → 351 → 345 → 356(億)
5988.T,0,0,0,551 → 584 → 646 → 634(億)
8147.T,3,2,2,194 → 202 → 213 → 217(億)
7624.T,0,0,0,445 → 441 → 436 → 435(億)
8119.T,1,3,1,340 → 387 → 367 → 399(億)
4341.T,2,0,0,172 → 170 → 185 → 193(億)
7229.T,0,0,0,2134 → 2180 → 2163 → 1792(億)
7538.T,3,3,3,888 → 985 → 985 → 993(億)
9929.T,0,0,0,156 → 161 → 161 → 160(億)
7877.T,0,2,0,83 → 83 → 91 → 89(億)
9872.T,0,0,0,609 → 624 → 613 → 590(億)
6262.T,1,1,1,205 → 253 → 175 → 220(億)
4839.T,1,0,0,797 → 771 → 749 → 768(億)
6228.T,0,0,0,191 → 231 → 250 → 179(億)
2193.T,0,0,0,91 → 76 → 59 → 53(億)
2499.T,0,0,0,48 → 45 → 47 → 45(億)
7991.T,3,3,3,129 → 159 → 274 → 337(億)
7887.T,3,0,0,219 → 231 → 238 → 249(億)
7841.T,3,0,0,146 → 157 → 174 → 182(億)
6346.T,2,3,2,42 → 41 → 55 → 55(億)
6054.T,0,0,0,48 → 57 → 63 → 56(億)
5918.T,3,0,0,147 → 186 → 233 → 238(億)
4231.T,3,2,2,409 → 453 → 479 → 493(億)
2917.T,3,0,0,142 → 142 → 163 → 165(億)
1420.T,0,2,0,511 → 410 → 459 → 455(億)
6867.T,0,0,0,38 → 41 → 45 → 41(億)
3439.T,2,1,1,138 → 124 → 126 → 131(億)
1758.T,1,2,1,147 → 146 → 135 → 145(億)
7871.T,3,0,0,367 → 396 → 397 → 400(億)
7347.T,1,1,1,46 → 58 → 56 → 72(億)
8135.T,3,1,1,448 → 499 → 520 → 553(億)
3320.T,0,1,0,571 → 602 → 620 → 599(億)
9854.T,3,2,2,138 → 142 → 147 → 149(億)
3426.T,0,0,0,96 → 100 → 104 → 102(億)
5541.T,0,0,0,571 → 349 → 155 → 132(億)
6393.T,2,1,1,292 → 287 → 295 → 335(億)
4629.T,1,0,0,313 → 344 → 325 → 347(億)
5971.T,0,0,0,117 → 132 → 110 → 105(億)
7531.T,0,1,0,576 → 626 → 515 → 500(億)
4569.T,3,3,3,1055 → 1133 → 1195 → 1301(億)
7434.T,3,1,1,266 → 293 → 313 → 330(億)
3246.T,1,1,1,110 → 102 → 76 → 100(億)
6342.T,0,0,0,49 → 64 → 88 → 79(億)
5984.T,1,1,1,197 → 211 → 201 → 202(億)
5697.T,3,1,1,211 → 239 → 240 → 244(億)
