コード,前日終値,配当,配当利回り(%),forwardEPS,予想PER,目標株価
3593,6660.0,95.0,1.43,153.01,43.52657,
3600,1691.0,50.0,2.98,,,
7034,380.0,0.0,0.0,33.0,12.030303,
5856,8.0,0.0,0.0,,,
9885,342.0,8.0,2.35,,,
3189,123.0,0.0,0.0,,,
1897,3245.0,50.0,1.54,,,
7297,871.0,30.0,3.5,,,
2484,116.0,0.0,0.0,0.76,156.57895,
6513,1048.0,40.0,3.72,,,
6771,648.0,15.0,2.33,171.8,3.7543654,
2055,332.0,6.0,1.75,,,
8617,530.0,10.0,1.91,,,
4387,511.0,0.0,0.0,,,
6986,641.0,36.0,5.54,26.4,24.621212,
5956,562.0,13.0,2.3,,,
7399,568.0,20.0,3.5,,,
7427,846.0,30.0,3.55,,,
6943,4990.0,100.0,2.0,,,
5658,360.0,10.0,2.74,,,
2788,378.0,10.0,2.65,,,
8881,647.0,37.0,5.76,,,
8917,1058.0,43.0,4.1,,,
5900,800.0,25.0,3.07,,,
7879,657.0,30.0,4.57,,,
5921,4215.0,90.0,2.12,,,
6222,894.0,20.0,2.17,63.7,14.489796,
5753,2365.0,20.0,84.0,,,
5962,1740.0,50.0,2.84,,,
8013,384.0,0.0,0.0,,,
8746,197.0,0.0,0.0,,,
6390,1228.0,70.0,5.7,298.7,4.1111484,
5603,1238.0,40.0,3.25,,,
8040,1036.0,45.0,4.34,,,
8138,3905.0,100.0,2.56,,,
6249,2255.0,100.0,4.33,739.8,3.1184103,
4102,1425.0,60.0,4.18,,,
7902,982.0,26.0,2.6,,,
3787,362.0,0.0,0.0,,,
6155,486.0,10.0,2.07,,,
6049,252.0,0.0,0.0,75.23,3.36302,
8144,1326.0,40.0,3.02,,,
8891,1783.0,80.0,4.49,,,
5280,2199.0,90.0,4.15,,,
6964,692.0,40.0,5.86,,,
5909,926.0,28.0,3.05,,,
6257,997.0,50.0,5.04,107.2,9.26306,
5923,1055.0,50.0,4.45,,,
3396,831.0,25.0,3.0,,,
8904,822.0,38.0,4.59,,,
8165,121.0,0.0,0.0,,,
8772,821.0,22.0,2.64,,,
7851,165.0,6.0,3.57,,,
4234,669.0,18.0,2.7,74.7,8.915663,
3261,390.0,15.0,3.85,,,
9767,1396.0,30.0,2.14,,,
5408,668.0,14.0,2.15,,,
5928,290.0,8.0,2.77,,,
7442,447.0,24.0,5.33,,,
4624,3705.0,50.0,1.34,,,
2388,44.0,0.0,0.0,,,
7219,2344.0,65.0,2.77,,,
7857,1325.0,26.0,1.96,,,
6467,339.0,6.0,1.78,95.0,3.5473685,
7266,952.0,32.0,3.37,,,
8995,1059.0,50.0,4.84,,,
9914,688.0,32.5,4.84,,,
1994,578.0,20.0,3.51,,,
9162,233.0,0.0,0.0,,,
8046,855.0,76.0,8.93,,,
5988,1568.0,92.0,5.8,133.8,11.860987,1750.0
8147,1205.0,25.0,2.03,,,
7624,133.0,4.0,2.96,,,
8119,758.0,31.0,4.1,,,
4341,846.0,30.0,3.62,,,
7229,3000.0,72.0,2.4,,,
7538,374.0,7.0,1.84,,,
9929,468.0,12.0,2.58,,,
7877,1986.0,70.0,3.54,,,
9872,889.0,28.0,3.16,,,
6262,577.0,30.0,5.23,96.7,5.9358845,
4839,1013.0,60.0,5.89,14.2,71.76057,
6228,555.0,6.0,92.0,,,
2193,121.0,0.0,0.0,-31.6,-3.892405,
2499,284.0,20.0,6.99,,,
7991,1077.0,50.0,4.58,,,
7887,1578.0,80.0,4.99,,,
7841,1084.0,40.0,3.67,,,
6346,5720.0,200.0,3.48,,,
6054,113.0,0.0,0.0,,,
5918,7330.0,100.0,1.39,,,
4231,1024.0,38.0,3.76,,,
2917,920.0,10.0,1.08,,,
1420,622.0,25.0,4.05,,,
1758,2490.0,65.0,2.6,,,
6867,415.0,30.0,7.11,90.4,4.6681414,
3439,680.0,20.0,2.93,,,
7871,930.0,31.0,3.37,,,
7347,725.0,22.0,3.01,,,
8135,418.0,36.0,8.55,,,
9854,236.0,0.0,0.0,,,
3320,1315.0,60.0,4.51,,,
3426,1303.0,31.5,2.4,,,
5541,2251.0,130.0,5.63,-41.0,-56.365852,
6393,2861.0,150.0,5.16,,,
4629,2009.0,45.0,2.26,,,
5971,7000.0,80.0,1.15,,,
7531,1370.0,20.0,1.46,,,
4569,1269.0,25.0,1.97,105.0,12.057143,1300.0
7434,1769.0,40.0,2.26,,,
3246,631.0,24.0,3.8,,,
5984,717.0,23.0,3.19,,,
6342,2812.0,100.0,3.59,,,
5697,705.0,60.0,8.51,,,
3420,1524.0,140.0,9.3,,,
7937,2865.0,115.0,4.16,,,
1850,415.0,8.0,1.95,,,
4705,795.0,40.0,5.04,,,
4224,2054.0,85.0,4.09,,,
7670,1060.0,70.0,6.85,,,
6694,637.0,32.0,5.0,,,
2795,918.0,25.0,2.72,,,
3758,235.0,5.0,2.16,,,
5951,989.0,28.0,2.9,,,
7435,1100.0,31.0,2.67,,,
7422,397.0,11.4,2.88,,,
3236,293.0,6.0,2.14,,,
5819,1798.0,66.0,3.7,,,
3161,673.0,23.0,3.44,,,
7175,1338.0,73.0,5.36,,,
5946,2006.0,46.0,2.29,122.7,16.389568,
8938,327.0,3.0,95.0,,,
6292,831.0,38.0,4.66,,,
3668,397.0,20.0,5.01,0.0,,
6748,736.0,20.0,2.71,,,
9972,263.0,7.0,2.64,,,
6335,666.0,0.0,0.0,,,
7021,1854.0,30.0,1.62,,,
6899,2240.0,80.0,3.51,,,
2814,3030.0,56.0,1.85,,,
7997,966.0,20.0,2.05,,,
4360,801.0,15.0,1.88,,,
5187,1115.0,47.0,4.18,,,
5446,1240.0,39.0,3.17,,,
3632,418.0,26.0,6.22,28.05,14.901961,630.0
9876,217.0,0.0,0.0,,,
6718,2729.0,160.0,5.91,244.4,11.072013,2820.0
8869,803.0,80.0,9.99,113.9,7.0324845,
5282,391.0,10.0,2.58,33.6,11.54762,
3537,1639.0,82.0,5.01,,,
8595,2241.0,133.0,5.9,356.55,6.3230968,2350.0
2168,1625.0,15.0,93.0,49.3,32.677486,
6497,1321.0,45.0,3.37,,,
7264,1306.0,48.0,3.66,,,
5079,2555.0,120.0,4.74,,,
7122,2315.0,50.0,2.12,,,
8281,1053.0,35.0,3.31,114.1,9.272568,
1853,316.0,14.0,4.44,,,
3765,2186.0,90.0,4.04,213.12,10.463589,2800.0
7908,238.0,8.0,3.36,,,
7218,1000.0,34.0,3.4,,,
4627,1674.0,54.0,3.11,,,
4243,886.0,20.0,2.22,,,
4625,723.0,20.0,2.77,,,
7521,2690.0,36.0,1.31,227.5,12.043956,
5986,245.0,6.0,2.45,,,
6743,852.0,36.0,4.33,,,
6150,2803.0,80.0,2.85,,,
7975,1101.0,25.0,2.27,,,
5966,2430.0,80.0,3.27,,,
3477,800.0,32.5,4.07,,,
7464,1575.0,60.0,3.79,,,
4365,20820.0,0.0,0.0,,,
3639,236.0,0.0,0.0,,,
7865,378.0,60.0,15.83,,,
2491,480.0,16.0,3.35,117.06,4.083376,
3054,238.0,7.0,2.97,,,
5078,4780.0,160.0,3.31,,,
3297,1171.0,40.0,3.42,,,
5915,2261.0,70.0,3.07,,,
8584,3460.0,200.0,5.73,514.05,6.789223,4500.0
7279,2445.0,53.0,2.14,,,
