コード,銘柄名,業種33,規模,新業種,method
3600,フジックス,繊維製品,-,繊維・紙パルプ,rule
7034,プロレド・パートナーズ,サービス業,TOPIX Small 2,,
5856,エルアイイーエイチ,小売業,-,,
9885,シャルレ,卸売業,-,,
3189,ＡＮＡＰホールディングス,小売業,-,,
1897,金下建設,建設業,-,,
7297,カーメイト,輸送用機器,-,自動車・輸送用機器,rule
2484,出前館,情報・通信業,-,,
6513,オリジン,電気機器,-,,
6771,池上通信機,電気機器,-,,
2055,日和産業,食料品,-,,
8617,光世証券,証券、商品先物取引業,-,証券・保険・その他金融,rule
4387,ＺＵＵ,情報・通信業,-,,
6986,双葉電子工業,電気機器,TOPIX Small 2,,
5956,トーソー,金属製品,-,金属製品・金属加工,rule
7399,ナンシン,輸送用機器,-,自動車・輸送用機器,rule
7427,エコートレーディング,卸売業,-,,
6943,ＮＫＫスイッチズ,電気機器,-,,
5658,日亜鋼業,鉄鋼,-,鉄鋼・非鉄金属,rule
2788,アップルインターナショナル,卸売業,-,,
8881,日神グループホールディングス,不動産業,TOPIX Small 2,,
8917,ファースト住建,不動産業,-,,
5900,ダイケン,金属製品,-,金属製品・金属加工,rule
7879,ノダ,その他製品,-,,
5921,川岸工業,金属製品,-,金属製品・金属加工,rule
6222,島精機製作所,機械,TOPIX Small 1,,
5753,日本伸銅,非鉄金属,-,鉄鋼・非鉄金属,rule
5962,浅香工業,その他製品,-,,
8013,ナイガイ,繊維製品,-,繊維・紙パルプ,rule
8746,ｕｎｂａｎｋｅｄ,証券、商品先物取引業,-,証券・保険・その他金融,rule
6390,加藤製作所,機械,-,,
5603,虹技,鉄鋼,-,鉄鋼・非鉄金属,rule
8040,東京ソワール,繊維製品,-,繊維・紙パルプ,rule
8138,三京化成,卸売業,-,,
6249,ゲームカードホールディングス,機械,-,,
4102,丸尾カルシウム,化学,-,,
7902,ソノコム,その他製品,-,,
3787,テクノマセマティカル,情報・通信業,-,,
6155,高松機械工業,機械,-,,
6049,イトクロ,サービス業,-,,
8144,デンキョーグループホールディングス,卸売業,-,,
8891,ＡＭＧホールディングス,不動産業,-,,
5280,ヨシコン,不動産業,-,,
6964,サンコー,電気機器,-,,
5909,コロナ,金属製品,TOPIX Small 2,金属製品・金属加工,rule
6257,藤商事,機械,-,,
5923,高田機工,金属製品,-,金属製品・金属加工,rule
3396,フェリシモ,小売業,-,,
8904,ＡＶＡＮＴＩＡ,不動産業,-,,
8165,千趣会,小売業,TOPIX Small 2,,
8772,アサックス,その他金融業,-,証券・保険・その他金融,rule
7851,カワセコンピュータサプライ,その他製品,-,,
4234,サンエー化研,化学,-,,
3261,グランディーズ,不動産業,-,,
9767,日建工学,サービス業,-,,
5408,中山製鋼所,鉄鋼,TOPIX Small 2,鉄鋼・非鉄金属,rule
5928,アルメタックス,金属製品,-,金属製品・金属加工,rule
7442,中山福,卸売業,-,,
2388,ウェッジホールディングス,その他金融業,-,証券・保険・その他金融,rule
4624,イサム塗料,化学,-,,
7219,エッチ・ケー・エス,輸送用機器,-,自動車・輸送用機器,rule
7857,セキ,その他製品,-,,
6467,ニチダイ,機械,-,,
7266,今仙電機製作所,輸送用機器,-,自動車・輸送用機器,rule
9914,植松商会,卸売業,-,,
8995,誠建設工業,不動産業,-,,
1994,高橋カーテンウォール工業,建設業,-,,
9162,ブリーチ,サービス業,-,,
8046,丸藤シートパイル,卸売業,-,,
5988,パイオラックス,金属製品,TOPIX Small 1,金属製品・金属加工,rule
8147,トミタ,卸売業,-,,
7624,ＮａＩＴＯ,卸売業,-,,
8119,三栄コーポレーション,卸売業,-,,
4341,西菱電機,サービス業,-,,
7229,ユタカ技研,輸送用機器,-,自動車・輸送用機器,rule
7538,大水,卸売業,-,,
9929,平和紙業,卸売業,-,,
7877,永大化工,化学,-,,
9872,北恵,卸売業,-,,
6262,ＰＥＧＡＳＵＳ,機械,TOPIX Small 2,,
4839,ＷＯＷＯＷ,情報・通信業,TOPIX Small 2,,
6228,ジェイ・イー・ティ,機械,-,,
2193,クックパッド,サービス業,TOPIX Small 2,,
2499,日本和装ホールディングス,サービス業,-,,
7991,マミヤ・オーピー,機械,-,,
7887,南海プライウッド,その他製品,-,,
