コード,新業種,source
3600,繊維・紙パルプ,det
7034,コンサルティング・BPO,summary
5856,衣料・家電・専門店,default
9885,建材・資材・エネルギー卸,default
3189,衣料・家電・専門店,summary
1897,ゼネコン・総合建設,summary
7297,自動車・輸送用機器,det
2484,SI・受託開発(中堅),summary
6513,半導体・半導体製造装置,summary
6771,民生電機・情報端末,default
2055,食品製造・飲料・酒類,gics
8617,証券・保険・その他金融,det
4387,ソフトウェア・SaaS,summary
6986,電子部品・デバイス,gics
5956,金属製品・金属加工,det
7399,自動車・輸送用機器,det
7427,建材・資材・エネルギー卸,default
6943,半導体・半導体製造装置,summary
5658,鉄鋼・非鉄金属,det
2788,総合商社・貿易,keyword
8881,不動産管理・仲介・賃貸,summary
8917,不動産管理・仲介・賃貸,summary
5900,金属製品・金属加工,det
7879,住宅設備・家具・生活用品,summary
5921,金属製品・金属加工,det
6222,産業機械・工作機械,default
5753,鉄鋼・非鉄金属,det
5962,住宅設備・家具・生活用品,default
8013,繊維・紙パルプ,det
8746,証券・保険・その他金融,det
6390,建設機械・農業機械,summary
5603,鉄鋼・非鉄金属,det
8040,繊維・紙パルプ,det
8138,建材・資材・エネルギー卸,summary
6249,産業機械・工作機械,default
4102,日用化学品・化粧品,summary
7902,住宅設備・家具・生活用品,default
3787,通信キャリア・放送,summary
6155,産業機械・工作機械,summary
6049,教育・研修・資格,summary
8144,機械・電子部品卸,keyword
8891,不動産管理・仲介・賃貸,summary
5280,不動産管理・仲介・賃貸,summary
6964,民生電機・情報端末,summary
5909,金属製品・金属加工,det
6257,産業機械・工作機械,default
5923,金属製品・金属加工,det
3396,EC・通販・無店舗販売,summary
8904,不動産管理・仲介・賃貸,summary
8165,EC・通販・無店舗販売,summary
8772,証券・保険・その他金融,det
7851,住宅設備・家具・生活用品,default
4234,日用化学品・化粧品,summary
3261,不動産管理・仲介・賃貸,gics
9767,ホテル・旅行・レジャー,summary
5408,鉄鋼・非鉄金属,det
5928,金属製品・金属加工,det
7442,建材・資材・エネルギー卸,default
2388,証券・保険・その他金融,det
4624,日用化学品・化粧品,summary
7219,自動車・輸送用機器,det
7857,住宅設備・家具・生活用品,default
6467,建設機械・農業機械,summary
7266,自動車・輸送用機器,det
9914,総合商社・貿易,summary
8995,不動産管理・仲介・賃貸,summary
1994,設備工事・専門工事,gics
9162,広告・PR・マーケティング,summary
8046,建材・資材・エネルギー卸,gics
5988,金属製品・金属加工,det
8147,機械・電子部品卸,gics
7624,総合商社・貿易,summary
8119,総合商社・貿易,keyword
4341,コンサルティング・BPO,summary
7229,自動車・輸送用機器,det
7538,食品・農産物卸,gics
9929,医薬品卸・その他専門卸,keyword
7877,機能性化学・先端材料,gics
9872,建材・資材・エネルギー卸,summary
6262,産業機械・工作機械,default
4839,通信キャリア・放送,summary
6228,産業機械・工作機械,default
2193,エンタメ・スポーツ・その他サービス,default
2499,広告・PR・マーケティング,summary
7991,産業機械・工作機械,default
7887,住宅設備・家具・生活用品,summary
7841,住宅設備・家具・生活用品,default
6346,産業機械・工作機械,summary
6054,人材サービス・派遣,summary
5918,金属製品・金属加工,det
4231,機能性化学・先端材料,gics
2917,調味料・菓子・冷凍食品,summary
1420,ゼネコン・総合建設,default
6867,民生電機・情報端末,default
3439,金属製品・金属加工,det
1758,ゼネコン・総合建設,summary
7871,機能性化学・先端材料,default
7347,証券・保険・その他金融,det
8135,建材・資材・エネルギー卸,default
3320,建材・資材・エネルギー卸,default
9854,衣料・家電・専門店,summary
3426,金属製品・金属加工,det
