コード,新業種
7427,食品・農産物卸
7442,医薬品卸・その他専門卸
2795,機械・電子部品卸
7435,機械・電子部品卸
3054,機械・電子部品卸
9895,機械・電子部品卸
7628,機械・電子部品卸
9867,機械・電子部品卸
2700,食品・農産物卸
7677,機械・電子部品卸
3321,機械・電子部品卸
9857,機械・電子部品卸
7607,機械・電子部品卸
3139,食品・農産物卸
8041,食品・農産物卸
9955,食品・農産物卸
8098,総合商社・貿易
2763,機械・電子部品卸
8091,食品・農産物卸
7466,機械・電子部品卸
8226,機械・電子部品卸
3306,医薬品卸・その他専門卸
9827,建材・資材・エネルギー卸
8043,食品・農産物卸
7590,建材・資材・エネルギー卸
7525,機械・電子部品卸
3559,機械・電子部品卸
7433,機械・電子部品卸
8081,機械・電子部品卸
423A,医薬品卸・その他専門卸
9930,機械・電子部品卸
7480,機械・電子部品卸
8285,総合商社・貿易
7413,食品・農産物卸
3374,機械・電子部品卸
7608,医薬品卸・その他専門卸
7505,機械・電子部品卸
8283,医薬品卸・その他専門卸
3076,機械・電子部品卸
7438,建材・資材・エネルギー卸
2767,医薬品卸・その他専門卸
7555,食品・農産物卸
8074,機械・電子部品卸
7637,建材・資材・エネルギー卸
3036,建材・資材・エネルギー卸
8130,建材・資材・エネルギー卸
7131,医薬品卸・その他専門卸
8275,機械・電子部品卸
3156,機械・電子部品卸
7504,医薬品卸・その他専門卸
3180,医薬品卸・その他専門卸
3168,建材・資材・エネルギー卸
8007,建材・資材・エネルギー卸
3024,建材・資材・エネルギー卸
7115,医薬品卸・その他専門卸
9962,機械・電子部品卸
2751,機械・電子部品卸
3562,機械・電子部品卸
8151,機械・電子部品卸
3140,医薬品卸・その他専門卸
2667,医薬品卸・その他専門卸
8070,機械・電子部品卸
3393,機械・電子部品卸
9960,機械・電子部品卸
3323,機械・電子部品卸
5885,機械・電子部品卸
8095,医薬品卸・その他専門卸
280A,機械・電子部品卸
3359,食品・農産物卸
3350,医薬品卸・その他専門卸
3041,食品・農産物卸
3543,食品・農産物卸
3167,建材・資材・エネルギー卸
9264,機械・電子部品卸
5283,建材・資材・エネルギー卸
3392,食品・農産物卸
7111,機械・電子部品卸
9305,食品・農産物卸
8835,建材・資材・エネルギー卸
6222,産業機械・工作機械
6249,産業機械・工作機械
6257,産業機械・工作機械
6262,産業機械・工作機械
6228,産業機械・工作機械
7991,産業機械・工作機械
6342,産業機械・工作機械
6292,産業機械・工作機械
6158,産業機械・工作機械
6349,産業機械・工作機械
6485,産業機械・工作機械
6419,産業機械・工作機械
6165,産業機械・工作機械
6149,自動化・ロボティクス
6418,産業機械・工作機械
6022,産業機械・工作機械
6494,産業機械・工作機械
6338,産業機械・工作機械
6430,産業機械・工作機械
6337,産業機械・工作機械
6484,産業機械・工作機械
6279,産業機械・工作機械
6405,自動化・ロボティクス
6267,産業機械・工作機械
6156,産業機械・工作機械
6157,産業機械・工作機械
6246,産業機械・工作機械
6291,産業機械・工作機械
6309,産業機械・工作機械
6239,産業機械・工作機械
6336,産業機械・工作機械
6307,産業機械・工作機械
6459,産業機械・工作機械
6167,産業機械・工作機械
6272,産業機械・工作機械
6339,産業機械・工作機械
6420,産業機械・工作機械
6238,産業機械・工作機械
6378,産業機械・工作機械
6332,産業機械・工作機械
6369,産業機械・工作機械
6140,産業機械・工作機械
6277,産業機械・工作機械
6424,産業機械・工作機械
6223,産業機械・工作機械
6356,産業機械・工作機械
6413,産業機械・工作機械
6357,産業機械・工作機械
6460,産業機械・工作機械
6331,産業機械・工作機械
6347,産業機械・工作機械
6284,産業機械・工作機械
6013,産業機械・工作機械
6136,産業機械・工作機械
6402,産業機械・工作機械
6465,産業機械・工作機械
6334,産業機械・工作機械
6235,産業機械・工作機械
6254,産業機械・工作機械
1909,産業機械・工作機械
6315,産業機械・工作機械
6208,産業機械・工作機械
6368,産業機械・工作機械
6387,産業機械・工作機械
6227,産業機械・工作機械
6146,産業機械・工作機械
6370,産業機械・工作機械
6005,産業機械・工作機械
6264,産業機械・工作機械
7004,産業機械・工作機械
6428,産業機械・工作機械
6400,産業機械・工作機械
6425,産業機械・工作機械
6412,産業機械・工作機械
2193,エンタメ・スポーツ・その他サービス
2385,医療・介護・福祉サービス
6552,エンタメ・スポーツ・その他サービス
6033,人材サービス・派遣
2153,コンサルティング・BPO
9341,医療・介護・福祉サービス
2185,コンサルティング・BPO
6082,エンタメ・スポーツ・その他サービス
2493,コンサルティング・BPO
9212,環境・リサイクル・ビル管理
4310,コンサルティング・BPO
2305,エンタメ・スポーツ・その他サービス
6190,医療・介護・福祉サービス
7057,コンサルティング・BPO
410A,広告・PR・マーケティング
2370,医療・介護・福祉サービス
4671,医療・介護・福祉サービス
2437,エンタメ・スポーツ・その他サービス
2391,コンサルティング・BPO
6073,環境・リサイクル・ビル管理
9340,医療・介護・福祉サービス
6046,エンタメ・スポーツ・その他サービス
2428,エンタメ・スポーツ・その他サービス
2376,広告・PR・マーケティング
6037,エンタメ・スポーツ・その他サービス
2127,コンサルティング・BPO
7378,エンタメ・スポーツ・その他サービス
9342,エンタメ・スポーツ・その他サービス
7096,医療・介護・福祉サービス
3521,ホテル・旅行・レジャー
6568,医療・介護・福祉サービス
288A,エンタメ・スポーツ・その他サービス
2158,コンサルティング・BPO
6036,エンタメ・スポーツ・その他サービス
2492,エンタメ・スポーツ・その他サービス
9245,エンタメ・スポーツ・その他サービス
6031,広告・PR・マーケティング
9259,エンタメ・スポーツ・その他サービス
6537,エンタメ・スポーツ・その他サービス
9227,環境・リサイクル・ビル管理
186A,エンタメ・スポーツ・その他サービス
4784,エンタメ・スポーツ・その他サービス
9565,エンタメ・スポーツ・その他サービス
6085,コンサルティング・BPO
195A,広告・PR・マーケティング
2164,広告・PR・マーケティング
9557,エンタメ・スポーツ・その他サービス
7502,エンタメ・スポーツ・その他サービス
6571,エンタメ・スポーツ・その他サービス
9425,その他ITサービス
5125,Webプラットフォーム・EC
3682,ソフトウェア・SaaS
4388,AI・データ・IoT
3839,その他ITサービス
304A,ソフトウェア・SaaS
9441,通信キャリア・放送
4287,ソフトウェア・SaaS
244A,DX支援・ITコンサルティング
4394,DX支援・ITコンサルティング
4376,Webプラットフォーム・EC
3768,ソフトウェア・SaaS
4172,ソフトウェア・SaaS
3963,Webプラットフォーム・EC
3773,AI・データ・IoT
4171,その他ITサービス
3918,SI・受託開発(中堅)
4427,ソフトウェア・SaaS
3998,ソフトウェア・SaaS
4262,Webプラットフォーム・EC
4197,その他ITサービス
2480,その他ITサービス
4445,Webプラットフォーム・EC
4263,ソフトウェア・SaaS
3974,ソフトウェア・SaaS
3970,Webプラットフォーム・EC
4380,Webプラットフォーム・EC
4743,SI・受託開発(中堅)
3798,SI・受託開発(中堅)
4326,広告・PR・マーケティング
3929,広告・PR・マーケティング
9746,その他ITサービス
3916,SI・受託開発(中堅)
9682,SI・受託開発(大手)
3640,SI・受託開発(中堅)
3647,その他ITサービス
9423,その他ITサービス
3837,SI・受託開発(中堅)
3747,ソフトウェア・SaaS
4320,ソフトウェア・SaaS
4820,ソフトウェア・SaaS
148A,ソフトウェア・SaaS
3660,Webプラットフォーム・EC
3964,Webプラットフォーム・EC
3696,Webプラットフォーム・EC
5616,Webプラットフォーム・EC
330A,ソフトウェア・SaaS
4196,広告・PR・マーケティング
3854,SI・受託開発(中堅)
4422,AI・データ・IoT
5032,ゲーム・デジタルコンテンツ
460A,ソフトウェア・SaaS
3807,その他ITサービス
5592,ソフトウェア・SaaS
431A,AI・データ・IoT
4490,Webプラットフォーム・EC
9418,ゲーム・デジタルコンテンツ
4177,ソフトウェア・SaaS
290A,AI・データ・IoT
3803,SI・受託開発(中堅)
4438,ソフトウェア・SaaS
184A,ソフトウェア・SaaS
4449,Webプラットフォーム・EC
9470,ゲーム・デジタルコンテンツ
464A,AI・データ・IoT
4413,SI・受託開発(中堅)
3628,AI・データ・IoT
4480,Webプラットフォーム・EC
9444,通信キャリア・放送
5962,住宅設備・家具・生活用品
7841,玩具・スポーツ・文具・雑貨
7975,玩具・スポーツ・文具・雑貨
7957,住宅設備・家具・生活用品
7859,住宅設備・家具・生活用品
7847,玩具・スポーツ・文具・雑貨
7922,住宅設備・家具・生活用品
7983,玩具・スポーツ・文具・雑貨
7837,住宅設備・家具・生活用品
7976,玩具・スポーツ・文具・雑貨
7836,住宅設備・家具・生活用品
7963,住宅設備・家具・生活用品
7809,玩具・スポーツ・文具・雑貨
7974,玩具・スポーツ・文具・雑貨
7823,住宅設備・家具・生活用品
7956,住宅設備・家具・生活用品
7826,住宅設備・家具・生活用品
7806,住宅設備・家具・生活用品
7827,住宅設備・家具・生活用品
7992,玩具・スポーツ・文具・雑貨
429A,住宅設備・家具・生活用品
7897,住宅設備・家具・生活用品
7808,住宅設備・家具・生活用品
7815,住宅設備・家具・生活用品
6867,民生電機・情報端末
6718,民生電機・情報端末
6743,重電・産業用電機
6797,重電・産業用電機
6276,民生電機・情報端末
6820,民生電機・情報端末
6778,民生電機・情報端末
6706,重電・産業用電機
6737,民生電機・情報端末
6918,民生電機・情報端末
6505,重電・産業用電機
7965,民生電機・情報端末
6599,電子部品・デバイス
6664,電子部品・デバイス
6863,重電・産業用電機
6874,重電・産業用電機
6824,電子部品・デバイス
6662,電子部品・デバイス
6932,民生電機・情報端末
6675,民生電機・情報端末
6788,民生電機・情報端末
6853,電子部品・デバイス
6822,重電・産業用電機
6518,重電・産業用電機
7999,民生電機・情報端末
6877,重電・産業用電機
6648,重電・産業用電機
7244,電子部品・デバイス
6633,民生電機・情報端末
6448,民生電機・情報端末
6670,民生電機・情報端末
6835,民生電機・情報端末
6744,重電・産業用電機
6745,重電・産業用電機
6638,民生電機・情報端末
6696,電子部品・デバイス
6954,重電・産業用電機
6597,民生電機・情報端末
6674,重電・産業用電機
6702,民生電機・情報端末
6588,民生電機・情報端末
6701,民生電機・情報端末
6634,民生電機・情報端末
3856,重電・産業用電機
7871,機能性化学・先端材料
7928,機能性化学・先端材料
373A,日用化学品・化粧品
4994,機能性化学・先端材料
7931,機能性化学・先端材料
4978,機能性化学・先端材料
4240,機能性化学・先端材料
7927,機能性化学・先端材料
4238,機能性化学・先端材料
7942,機能性化学・先端材料
4248,機能性化学・先端材料
4251,機能性化学・先端材料
4212,機能性化学・先端材料
7988,機能性化学・先端材料
4974,機能性化学・先端材料
4216,機能性化学・先端材料
4237,機能性化学・先端材料
9385,機能性化学・先端材料
7995,機能性化学・先端材料
4246,機能性化学・先端材料
6776,機能性化学・先端材料
7888,機能性化学・先端材料
7947,機能性化学・先端材料
4222,機能性化学・先端材料
4241,機能性化学・先端材料
4245,機能性化学・先端材料
4235,機能性化学・先端材料
5856,衣料・家電・専門店
7523,衣料・家電・専門店
3550,衣料・家電・専門店
3825,衣料・家電・専門店
5888,衣料・家電・専門店
2780,衣料・家電・専門店
7463,衣料・家電・専門店
2656,EC・通販・無店舗販売
6993,衣料・家電・専門店
7509,衣料・家電・専門店
8174,衣料・家電・専門店
262A,衣料・家電・専門店
3190,衣料・家電・専門店
386A,食品スーパー・コンビニ
7578,衣料・家電・専門店
1420,ゼネコン・総合建設
1724,設備工事・専門工事
1964,設備工事・専門工事
1911,ゼネコン・総合建設
1992,設備工事・専門工事
1808,ゼネコン・総合建設
1766,ゼネコン・総合建設
1418,設備工事・専門工事
1444,ゼネコン・総合建設
1840,ゼネコン・総合建設
1431,ゼネコン・総合建設
1773,ゼネコン・総合建設
1407,設備工事・専門工事
205A,ゼネコン・総合建設
1873,ゼネコン・総合建設
2999,不動産開発・デベロッパー
9820,不動産管理・仲介・賃貸
8919,不動産開発・デベロッパー
3454,不動産管理・仲介・賃貸
4809,不動産管理・仲介・賃貸
2929,食品製造・飲料・酒類
2268,調味料・菓子・冷凍食品
2934,食品製造・飲料・酒類
2931,食品製造・飲料・酒類
2588,食品製造・飲料・酒類
9028,貨物・物流・倉庫
