コード,銘柄名,業種33,規模,候補
7034,プロレド・パートナーズ,サービス業,TOPIX Small 2,人材サービス・派遣 / コンサルティング・BPO / 広告・PR・マーケティング / 教育・研修・資格 / 医療・介護・福祉サービス / ホテル・旅行・レジャー / 環境・リサイクル・ビル管理 / エンタメ・スポーツ・その他サービス
5856,エルアイイーエイチ,小売業,-,百貨店・総合スーパー / 食品スーパー・コンビニ / ドラッグストア・HC / 衣料・家電・専門店 / 飲食チェーン・中食 / EC・通販・無店舗販売
9885,シャルレ,卸売業,-,総合商社・貿易 / 食品・農産物卸 / 機械・電子部品卸 / 建材・資材・エネルギー卸 / 医薬品卸・その他専門卸
3189,ＡＮＡＰホールディングス,小売業,-,百貨店・総合スーパー / 食品スーパー・コンビニ / ドラッグストア・HC / 衣料・家電・専門店 / 飲食チェーン・中食 / EC・通販・無店舗販売
1897,金下建設,建設業,-,ゼネコン・総合建設 / 設備工事・専門工事
2484,出前館,情報・通信業,-,通信キャリア・放送 / SI・受託開発(大手) / SI・受託開発(中堅) / ソフトウェア・SaaS / Webプラットフォーム・EC / ゲーム・デジタルコンテンツ / サイバーセキュリティ・クラウド / AI・データ・IoT / DX支援・ITコンサルティング / その他ITサービス
6513,オリジン,電気機器,-,半導体・半導体製造装置 / 電子部品・デバイス / 重電・産業用電機 / 民生電機・情報端末
6771,池上通信機,電気機器,-,半導体・半導体製造装置 / 電子部品・デバイス / 重電・産業用電機 / 民生電機・情報端末
2055,日和産業,食料品,-,食品製造・飲料・酒類 / 調味料・菓子・冷凍食品
4387,ＺＵＵ,情報・通信業,-,通信キャリア・放送 / SI・受託開発(大手) / SI・受託開発(中堅) / ソフトウェア・SaaS / Webプラットフォーム・EC / ゲーム・デジタルコンテンツ / サイバーセキュリティ・クラウド / AI・データ・IoT / DX支援・ITコンサルティング / その他ITサービス
6986,双葉電子工業,電気機器,TOPIX Small 2,半導体・半導体製造装置 / 電子部品・デバイス / 重電・産業用電機 / 民生電機・情報端末
7427,エコートレーディング,卸売業,-,総合商社・貿易 / 食品・農産物卸 / 機械・電子部品卸 / 建材・資材・エネルギー卸 / 医薬品卸・その他専門卸
6943,ＮＫＫスイッチズ,電気機器,-,半導体・半導体製造装置 / 電子部品・デバイス / 重電・産業用電機 / 民生電機・情報端末
2788,アップルインターナショナル,卸売業,-,総合商社・貿易 / 食品・農産物卸 / 機械・電子部品卸 / 建材・資材・エネルギー卸 / 医薬品卸・その他専門卸
8881,日神グループホールディングス,不動産業,TOPIX Small 2,不動産開発・デベロッパー / 不動産管理・仲介・賃貸
8917,ファースト住建,不動産業,-,不動産開発・デベロッパー / 不動産管理・仲介・賃貸
7879,ノダ,その他製品,-,住宅設備・家具・生活用品 / 玩具・スポーツ・文具・雑貨
6222,島精機製作所,機械,TOPIX Small 1,産業機械・工作機械 / 建設機械・農業機械 / 自動化・ロボティクス
5962,浅香工業,その他製品,-,住宅設備・家具・生活用品 / 玩具・スポーツ・文具・雑貨
6390,加藤製作所,機械,-,産業機械・工作機械 / 建設機械・農業機械 / 自動化・ロボティクス
8138,三京化成,卸売業,-,総合商社・貿易 / 食品・農産物卸 / 機械・電子部品卸 / 建材・資材・エネルギー卸 / 医薬品卸・その他専門卸
6249,ゲームカードホールディングス,機械,-,産業機械・工作機械 / 建設機械・農業機械 / 自動化・ロボティクス
4102,丸尾カルシウム,化学,-,基礎化学・石油化学 / 機能性化学・先端材料 / 日用化学品・化粧品
7902,ソノコム,その他製品,-,住宅設備・家具・生活用品 / 玩具・スポーツ・文具・雑貨
3787,テクノマセマティカル,情報・通信業,-,通信キャリア・放送 / SI・受託開発(大手) / SI・受託開発(中堅) / ソフトウェア・SaaS / Webプラットフォーム・EC / ゲーム・デジタルコンテンツ / サイバーセキュリティ・クラウド / AI・データ・IoT / DX支援・ITコンサルティング / その他ITサービス
6155,高松機械工業,機械,-,産業機械・工作機械 / 建設機械・農業機械 / 自動化・ロボティクス
6049,イトクロ,サービス業,-,人材サービス・派遣 / コンサルティング・BPO / 広告・PR・マーケティング / 教育・研修・資格 / 医療・介護・福祉サービス / ホテル・旅行・レジャー / 環境・リサイクル・ビル管理 / エンタメ・スポーツ・その他サービス
8144,デンキョーグループホールディングス,卸売業,-,総合商社・貿易 / 食品・農産物卸 / 機械・電子部品卸 / 建材・資材・エネルギー卸 / 医薬品卸・その他専門卸
8891,ＡＭＧホールディングス,不動産業,-,不動産開発・デベロッパー / 不動産管理・仲介・賃貸
5280,ヨシコン,不動産業,-,不動産開発・デベロッパー / 不動産管理・仲介・賃貸
6964,サンコー,電気機器,-,半導体・半導体製造装置 / 電子部品・デバイス / 重電・産業用電機 / 民生電機・情報端末
6257,藤商事,機械,-,産業機械・工作機械 / 建設機械・農業機械 / 自動化・ロボティクス
