コード,sector,industry
3600,Consumer Cyclical,Textile Manufacturing
7034,Industrials,Consulting Services
5856,Industrials,Conglomerates
9885,Consumer Cyclical,Apparel Manufacturing
3189,Consumer Cyclical,Apparel Retail
1897,Industrials,Engineering & Construction
7297,Consumer Cyclical,Auto Parts
2484,Consumer Cyclical,Internet Retail
6513,Technology,Semiconductor Equipment & Materials
6771,Technology,Communication Equipment
2055,Consumer Defensive,Packaged Foods
8617,Financial Services,Capital Markets
4387,Technology,Software - Application
6986,Technology,Electronic Components
5956,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
7399,Industrials,Tools & Accessories
7427,Consumer Defensive,Packaged Foods
6943,Industrials,Electrical Equipment & Parts
5658,Industrials,Tools & Accessories
2788,Consumer Cyclical,Auto & Truck Dealerships
8881,Real Estate,Real Estate Services
8917,Consumer Cyclical,Residential Construction
5900,Industrials,Building Products & Equipment
7879,Industrials,Building Products & Equipment
5921,Basic Materials,Steel
6222,Industrials,Specialty Industrial Machinery
5753,Basic Materials,Copper
5962,Industrials,Tools & Accessories
8013,Consumer Cyclical,Apparel Retail
8746,Financial Services,Capital Markets
6390,Industrials,Farm & Heavy Construction Machinery
5603,Industrials,Metal Fabrication
8040,Consumer Cyclical,Apparel Manufacturing
8138,Basic Materials,Specialty Chemicals
6249,Industrials,Business Equipment & Supplies
4102,Basic Materials,Chemicals
7902,Technology,Electronic Components
3787,Technology,Software - Application
6155,Industrials,Specialty Industrial Machinery
6049,Communication Services,Internet Content & Information
8144,Technology,Consumer Electronics
8891,Real Estate,Real Estate Services
5280,Real Estate,Real Estate - Development
6964,Technology,Electronic Components
5909,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
6257,Consumer Cyclical,Gambling
5923,Industrials,Engineering & Construction
3396,Consumer Cyclical,Internet Retail
8904,Consumer Cyclical,Residential Construction
8165,Consumer Cyclical,Internet Retail
8772,Financial Services,Mortgage Finance
7851,Industrials,Specialty Business Services
4234,Basic Materials,Specialty Chemicals
3261,Real Estate,Real Estate Services
9767,Industrials,Building Products & Equipment
5408,Basic Materials,Steel
5928,Industrials,Building Products & Equipment
7442,Consumer Cyclical,Specialty Retail
2388,Industrials,Conglomerates
4624,Basic Materials,Specialty Chemicals
7219,Consumer Cyclical,Auto Parts
7857,Communication Services,Advertising Agencies
6467,Industrials,Specialty Industrial Machinery
7266,Consumer Cyclical,Auto Parts
9914,Industrials,Industrial Distribution
8995,Real Estate,Real Estate - Diversified
1994,Industrials,Building Products & Equipment
9162,Communication Services,Advertising Agencies
8046,Basic Materials,Steel
5988,Consumer Cyclical,Auto Parts
8147,Industrials,Industrial Distribution
7624,Industrials,Industrial Distribution
8119,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
4341,Communication Services,Telecom Services
7229,Consumer Cyclical,Auto Parts
7538,Consumer Defensive,Food Distribution
9929,Basic Materials,Paper & Paper Products
7877,Basic Materials,Specialty Chemicals
9872,Industrials,Building Products & Equipment
6262,Industrials,Specialty Industrial Machinery
4839,Communication Services,Broadcasting
6228,Technology,Semiconductor Equipment & Materials
2193,Communication Services,Internet Content & Information
2499,Industrials,Specialty Business Services
7991,Industrials,Business Equipment & Supplies
7887,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
7841,Consumer Cyclical,Leisure
6346,Industrials,Specialty Industrial Machinery
6054,Communication Services,Internet Content & Information
5918,Industrials,Engineering & Construction
4231,Basic Materials,Specialty Chemicals
2917,Consumer Defensive,Packaged Foods
1420,Consumer Cyclical,Residential Construction
6867,Technology,Scientific & Technical Instruments
3439,Consumer Cyclical,Auto Parts
1758,Industrials,Engineering & Construction
7871,Industrials,Building Products & Equipment
7347,Financial Services,Asset Management
8135,Consumer Cyclical,Leisure
3320,Consumer Cyclical,Apparel Manufacturing
9854,Consumer Cyclical,Specialty Retail
3426,Industrials,Building Products & Equipment
5541,Basic Materials,Other Industrial Metals & Mining
6393,Industrials,Specialty Industrial Machinery
4629,Basic Materials,Specialty Chemicals
5971,Industrials,Tools & Accessories
7531,Basic Materials,Steel
4569,Healthcare,Drug Manufacturers - Specialty & Generic
7434,Industrials,Building Products & Equipment
3246,Real Estate,Real Estate - Diversified
6342,Basic Materials,Lumber & Wood Production
5984,Industrials,Specialty Industrial Machinery
5697,Basic Materials,Steel
3420,Industrials,Conglomerates
1850,Industrials,Engineering & Construction
7937,Consumer Cyclical,Luxury Goods
4224,Industrials,Building Products & Equipment
4705,Consumer Defensive,Education & Training Services
7670,Industrials,Conglomerates
6694,Technology,Consumer Electronics
2795,Industrials,Specialty Industrial Machinery
3758,Communication Services,Electronic Gaming & Multimedia
5951,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
7435,Industrials,Specialty Industrial Machinery
7422,Consumer Cyclical,Footwear & Accessories
3236,Real Estate,Real Estate - Diversified
5819,Industrials,Electrical Equipment & Parts
