コード,連動銘柄,連動銘柄名,相関
1420.T,2268.T,Ｂ－Ｒ　サーティワン　アイスクリーム,0.602
1420.T,2816.T,ダイショー,0.601
1420.T,2683.T,魚喜,0.596
1420.T,9853.T,銀座ルノアール,0.593
1420.T,9846.T,天満屋ストア,0.589
1420.T,3065.T,ライフフーズ,0.589
1420.T,5990.T,スーパーツール,0.588
1420.T,2818.T,ピエトロ,0.588
1420.T,2186.T,ソーバル,0.582
1420.T,8898.T,センチュリー２１・ジャパン,0.581
1420.T,9950.T,ハチバン,0.573
1420.T,9986.T,蔵王産業,0.57
1420.T,2169.T,ＣＤＳ,0.566
1420.T,9656.T,グリーンランドリゾート,0.566
1420.T,2883.T,大冷,0.566
1420.T,3800.T,ユニリタ,0.564
1420.T,2877.T,日東ベスト,0.56
1420.T,9661.T,歌舞伎座,0.55
1420.T,2904.T,一正蒲鉾,0.549
1420.T,3571.T,ソトー,0.548
1758.T,7795.T,ＫＹＯＲＩＴＳＵ,0.229
1758.T,5408.T,中山製鋼所,0.22
1758.T,6537.T,ＷＡＳＨハウス,0.217
1758.T,6432.T,竹内製作所,0.216
1758.T,9896.T,ＪＫホールディングス,0.205
1758.T,9060.T,日本ロジテム,0.204
1758.T,1840.T,土屋ホールディングス,0.204
1758.T,5902.T,ホッカンホールディングス,0.202
1758.T,9311.T,アサガミ,0.199
1758.T,2375.T,ギグワークス,0.199
1758.T,7822.T,永大産業,0.199
1758.T,7601.T,ポプラ,0.196
1758.T,3653.T,モルフォ,0.195
1758.T,3320.T,クロスプラス,0.193
1758.T,2139.T,中広,0.191
1758.T,8077.T,トルク,0.191
1758.T,6413.T,理想科学工業,0.19
1758.T,8117.T,中央自動車工業,0.187
1758.T,6198.T,キャリア,0.182
1758.T,9264.T,ポエック,0.18
1850.T,9363.T,大運,0.459
1850.T,6946.T,日本アビオニクス,0.355
1850.T,9307.T,杉村倉庫,0.349
1850.T,7711.T,助川電気工業,0.331
1850.T,4026.T,神島化学工業,0.329
1850.T,1852.T,淺沼組,0.308
1850.T,6653.T,正興電機製作所,0.307
1850.T,3692.T,ＦＦＲＩセキュリティ,0.304
1850.T,1815.T,鉄建建設,0.301
1850.T,6814.T,古野電気,0.288
1850.T,9353.T,櫻島埠頭,0.282
1850.T,7224.T,新明和工業,0.277
1850.T,1417.T,ミライト・ワン,0.273
1850.T,1866.T,北野建設,0.268
1850.T,6648.T,かわでん,0.265
1850.T,6331.T,三菱化工機,0.261
1850.T,6310.T,井関農機,0.26
1850.T,4552.T,ＪＣＲファーマ,0.26
1850.T,7254.T,ユニバンス,0.257
1850.T,8707.T,岩井コスモホールディングス,0.25
1897.T,3167.T,ＴＯＫＡＩホールディングス,0.425
1897.T,6943.T,ＮＫＫスイッチズ,0.418
1897.T,4524.T,森下仁丹,0.402
1897.T,2204.T,中村屋,0.392
1897.T,9950.T,ハチバン,0.392
1897.T,2169.T,ＣＤＳ,0.387
1897.T,4102.T,丸尾カルシウム,0.386
1897.T,3951.T,朝日印刷,0.38
1897.T,6073.T,アサンテ,0.376
1897.T,2816.T,ダイショー,0.368
1897.T,2683.T,魚喜,0.367
1897.T,5589.T,オートサーバー,0.363
1897.T,2226.T,湖池屋,0.362
1897.T,4335.T,ＩＰＳホールディングス,0.362
1897.T,3329.T,東和フードサービス,0.359
1897.T,9986.T,蔵王産業,0.358
1897.T,2883.T,大冷,0.357
1897.T,8898.T,センチュリー２１・ジャパン,0.354
1897.T,3065.T,ライフフーズ,0.352
1897.T,2186.T,ソーバル,0.351
1994.T,4392.T,ＦＩＧ,0.428
1994.T,9312.T,ケイヒン,0.424
1994.T,4247.T,ポバール興業,0.372
1994.T,5393.T,ニチアス,0.364
1994.T,6445.T,ジャノメ,0.345
1994.T,7366.T,ＬＩＴＡＬＩＣＯ,0.344
1994.T,8439.T,東京センチュリー,0.34
1994.T,7537.T,丸文,0.331
1994.T,9639.T,三協フロンテア,0.325
1994.T,5956.T,トーソー,0.324
1994.T,1717.T,明豊ファシリティワークス,0.315
1994.T,3435.T,サンコーテクノ,0.307
1994.T,5446.T,北越メタル,0.293
1994.T,9006.T,京浜急行電鉄,0.292
1994.T,2613.T,Ｊ－オイルミルズ,0.289
1994.T,3571.T,ソトー,0.288
1994.T,2139.T,中広,0.284
1994.T,6797.T,名古屋電機工業,0.28
1994.T,4732.T,ユー・エス・エス,0.279
1994.T,9466.T,アイドママーケティングコミュニケーション,0.278
2055.T,6964.T,サンコー,0.425
2055.T,9904.T,ベリテ,0.378
2055.T,4102.T,丸尾カルシウム,0.319
2055.T,2573.T,北海道コカ・コーラボトリング,0.316
2055.T,5187.T,クリエートメディック,0.3
2055.T,6382.T,トリニティ工業,0.298
2055.T,5962.T,浅香工業,0.297
2055.T,4538.T,扶桑薬品工業,0.288
2055.T,1717.T,明豊ファシリティワークス,0.283
2055.T,3297.T,東武住販,0.281
2055.T,8076.T,カノークス,0.278
2055.T,8230.T,はせがわ,0.276
2055.T,2139.T,中広,0.276
2055.T,8931.T,和田興産,0.274
2055.T,7963.T,興研,0.271
2055.T,6467.T,ニチダイ,0.271
2055.T,8138.T,三京化成,0.27
2055.T,4569.T,杏林製薬,0.268
2055.T,7377.T,ＤＮホールディングス,0.266
2055.T,4335.T,ＩＰＳホールディングス,0.264
2193.T,8566.T,リコーリース,0.28
2193.T,6306.T,日工,0.274
2193.T,9726.T,ＫＮＴ－ＣＴホールディングス,0.259
2193.T,2148.T,アイティメディア,0.258
2193.T,9757.T,船井総研ホールディングス,0.216
2193.T,6557.T,ＡＩＡＩグループ,0.216
2193.T,2296.T,伊藤ハム米久ホールディングス,0.209
2193.T,2109.T,ＤＭ三井製糖,0.207
2193.T,2124.T,ジェイエイシーリクルートメント,0.207
2193.T,4310.T,ドリームインキュベータ,0.206
2193.T,3649.T,ファインデックス,0.202
2193.T,4923.T,コタ,0.197
2193.T,7716.T,ナカニシ,0.195
2193.T,7504.T,高速,0.192
2193.T,9310.T,日本トランスシティ,0.192
2193.T,7148.T,ＦＰＧ,0.192
2193.T,8255.T,アクシアル　リテイリング,0.191
2193.T,6849.T,日本光電工業,0.188
2193.T,9303.T,住友倉庫,0.186
2193.T,9543.T,静岡ガス,0.186
2388.T,3989.T,シェアリングテクノロジー,0.517
2388.T,7140.T,ペットゴー,0.508
2388.T,7815.T,東京ボード工業,0.401
2388.T,6977.T,日本抵抗器製作所,0.392
2388.T,9229.T,サンウェルズ,0.287
2388.T,6696.T,トラース・オン・プロダクト,0.284
