コード,連動銘柄,連動銘柄名,相関
1420.T,9405.T,朝日放送グループホールディングス,0.473
1420.T,3232.T,三重交通グループホールディングス,0.45
1420.T,1952.T,新日本空調,0.444
1420.T,6485.T,前澤給装工業,0.441
1420.T,8869.T,明和地所,0.437
1420.T,3291.T,飯田グループホールディングス,0.436
1420.T,9763.T,丸建リース,0.426
1420.T,8793.T,ＮＥＣキャピタルソリューション,0.423
1420.T,6463.T,ＴＰＲ,0.42
1420.T,8584.T,ジャックス,0.42
1420.T,1812.T,鹿島建設,0.419
1420.T,3284.T,フージャースホールディングス,0.417
1420.T,1898.T,世紀東急工業,0.417
1420.T,2163.T,アルトナー,0.413
1420.T,1826.T,佐田建設,0.411
1420.T,9991.T,ジェコス,0.409
1420.T,1822.T,大豊建設,0.406
1420.T,8572.T,アコム,0.406
1420.T,4548.T,生化学工業,0.405
1420.T,7971.T,東リ,0.404
1758.T,3320.T,クロスプラス,0.435
1758.T,7822.T,永大産業,0.429
1758.T,7240.T,ＮＯＫ,0.423
1758.T,9264.T,ポエック,0.417
1758.T,6915.T,千代田インテグレ,0.413
1758.T,4251.T,恵和,0.405
1758.T,6592.T,マブチモーター,0.399
1758.T,8001.T,伊藤忠商事,0.397
1758.T,5408.T,中山製鋼所,0.395
1758.T,7224.T,新明和工業,0.395
1758.T,6305.T,日立建機,0.394
1758.T,6493.T,ＮＩＴＴＡＮ,0.389
1758.T,6458.T,新晃工業,0.388
1758.T,5902.T,ホッカンホールディングス,0.387
1758.T,5185.T,フコク,0.387
1758.T,8093.T,極東貿易,0.386
1758.T,6371.T,椿本チエイン,0.385
1758.T,7795.T,ＫＹＯＲＩＴＳＵ,0.385
1758.T,3109.T,シキボウ,0.384
1758.T,4118.T,カネカ,0.383
1850.T,9363.T,大運,0.579
1850.T,1852.T,淺沼組,0.528
1850.T,4026.T,神島化学工業,0.52
1850.T,1417.T,ミライト・ワン,0.511
1850.T,8616.T,東海東京フィナンシャル・ホールディングス,0.508
1850.T,7231.T,トピー工業,0.507
1850.T,9307.T,杉村倉庫,0.503
1850.T,8707.T,岩井コスモホールディングス,0.501
1850.T,7224.T,新明和工業,0.497
1850.T,1853.T,森組,0.495
1850.T,1815.T,鉄建建設,0.493
1850.T,6946.T,日本アビオニクス,0.492
1850.T,7949.T,小松ウオール工業,0.491
1850.T,6653.T,正興電機製作所,0.485
1850.T,6317.T,北川鉄工所,0.473
1850.T,5940.T,不二サッシ,0.471
1850.T,6149.T,小田原エンジニアリング,0.47
1850.T,7525.T,リックス,0.466
1850.T,6995.T,東海理化電機製作所,0.465
1850.T,7241.T,フタバ産業,0.462
1897.T,1847.T,イチケン,0.35
1897.T,6523.T,ＰＨＣホールディングス,0.323
1897.T,6943.T,ＮＫＫスイッチズ,0.323
1897.T,3167.T,ＴＯＫＡＩホールディングス,0.318
1897.T,4025.T,多木化学,0.312
1897.T,4767.T,テー・オー・ダブリュー,0.305
1897.T,1786.T,オリエンタル白石,0.295
1897.T,4527.T,ロート製薬,0.294
1897.T,4114.T,日本触媒,0.282
1897.T,5711.T,三菱マテリアル,0.282
1897.T,7780.T,メニコン,0.28
1897.T,4234.T,サンエー化研,0.271
1897.T,5021.T,コスモエネルギーホールディングス,0.268
1897.T,7931.T,未来工業,0.264
1897.T,8074.T,ＹＵＡＳＡ,0.263
1897.T,5142.T,アキレス,0.259
1897.T,3947.T,ダイナパック,0.258
1897.T,4401.T,ＡＤＥＫＡ,0.254
1897.T,3901.T,マークラインズ,0.249
1897.T,2204.T,中村屋,0.245
1994.T,5393.T,ニチアス,0.495
1994.T,4392.T,ＦＩＧ,0.482
1994.T,9312.T,ケイヒン,0.481
1994.T,6445.T,ジャノメ,0.468
1994.T,7537.T,丸文,0.466
1994.T,8439.T,東京センチュリー,0.449
1994.T,6480.T,日本トムソン,0.428
1994.T,1803.T,清水建設,0.421
1994.T,7366.T,ＬＩＴＡＬＩＣＯ,0.414
1994.T,4247.T,ポバール興業,0.398
1994.T,7955.T,クリナップ,0.377
1994.T,2488.T,ＪＴＰ,0.36
1994.T,6282.T,オイレス工業,0.345
1994.T,6240.T,ヤマシンフィルタ,0.345
1994.T,5902.T,ホッカンホールディングス,0.343
1994.T,5956.T,トーソー,0.343
1994.T,8041.T,ＯＵＧホールディングス,0.341
1994.T,6517.T,デンヨー,0.337
1994.T,1717.T,明豊ファシリティワークス,0.336
1994.T,7898.T,ウッドワン,0.335
2055.T,6964.T,サンコー,0.493
2055.T,6382.T,トリニティ工業,0.483
2055.T,7226.T,極東開発工業,0.482
2055.T,6644.T,大崎電気工業,0.448
2055.T,8076.T,カノークス,0.442
2055.T,6658.T,シライ電子工業,0.439
2055.T,7224.T,新明和工業,0.437
2055.T,7231.T,トピー工業,0.428
2055.T,4538.T,扶桑薬品工業,0.421
2055.T,8572.T,アコム,0.416
2055.T,7822.T,永大産業,0.415
2055.T,1717.T,明豊ファシリティワークス,0.412
2055.T,8928.T,穴吹興産,0.412
2055.T,1861.T,熊谷組,0.411
2055.T,3004.T,神栄,0.411
2055.T,5958.T,三洋工業,0.411
2055.T,9765.T,オオバ,0.41
2055.T,3405.T,クラレ,0.409
2055.T,5949.T,ユニプレス,0.407
2055.T,1799.T,第一建設工業,0.407
2193.T,8566.T,リコーリース,0.444
2193.T,6306.T,日工,0.419
2193.T,5195.T,バンドー化学,0.391
2193.T,5976.T,高周波熱錬,0.376
2193.T,9248.T,人・夢・技術グループ,0.372
2193.T,6272.T,レオン自動機,0.372
2193.T,8093.T,極東貿易,0.371
2193.T,5932.T,三協立山,0.37
2193.T,9726.T,ＫＮＴ－ＣＴホールディングス,0.367
2193.T,9757.T,船井総研ホールディングス,0.366
2193.T,5357.T,ヨータイ,0.364
2193.T,9699.T,ニシオホールディングス,0.361
2193.T,2148.T,アイティメディア,0.36
2193.T,6919.T,ケル,0.359
2193.T,5933.T,アルインコ,0.354
2193.T,9332.T,ＮＩＳＳＯホールディングス,0.354
2193.T,8999.T,グランディハウス,0.353
2193.T,7949.T,小松ウオール工業,0.351
2193.T,7914.T,共同印刷,0.35
2193.T,4634.T,ａｒｔｉｅｎｃｅ,0.348
2388.T,3989.T,シェアリングテクノロジー,0.523
2388.T,7140.T,ペットゴー,0.522
2388.T,6977.T,日本抵抗器製作所,0.41
2388.T,7815.T,東京ボード工業,0.408
2388.T,6696.T,トラース・オン・プロダクト,0.341
2388.T,9229.T,サンウェルズ,0.34
2388.T,2379.T,ディップ,0.307
2388.T,7447.T,ナガイレーベン,0.301
2388.T,4583.T,カイオム・バイオサイエンス,0.285
2388.T,3529.T,アツギ,0.283
2388.T,4444.T,インフォネット,0.282
2388.T,7363.T,ベビーカレンダー,0.269
2388.T,9253.T,スローガン,0.264
2388.T,6870.T,日本フェンオール,0.259
2388.T,3086.T,Ｊ．フロント　リテイリング,0.258
2388.T,7046.T,ＴＤＳＥ,0.248
2388.T,3089.T,テクノアルファ,0.245
2388.T,3931.T,バリューゴルフ,0.243
2388.T,4380.T,Ｍマート,0.238
2388.T,1419.T,タマホーム,0.236
2484.T,4599.T,ステムリム,0.435
2484.T,3023.T,ラサ商事,0.413
2484.T,4440.T,ヴィッツ,0.391
2484.T,6082.T,ライドオンエクスプレスホールディングス,0.366
2484.T,2927.T,ＡＦＣ－ＨＤアムスライフサイエンス,0.359
2484.T,4978.T,リプロセル,0.358
2484.T,4498.T,サイバートラスト,0.357
2484.T,5932.T,三協立山,0.353
2484.T,4891.T,ティムス,0.343
2484.T,4393.T,バンク・オブ・イノベーション,0.337
2484.T,414A.T,オーバーラップホールディングス,0.337
2484.T,5541.T,大平洋金属,0.336
2484.T,5586.T,Ｌａｂｏｒｏ．ＡＩ,0.336
2484.T,8158.T,ソーダニッカ,0.335
2484.T,7610.T,テイツー,0.334
2484.T,7527.T,システムソフト,0.334
2484.T,2931.T,ユーグレナ,0.331
2484.T,4264.T,セキュア,0.326
2484.T,4056.T,ニューラルグループ,0.326
2484.T,1815.T,鉄建建設,0.323
2499.T,5586.T,Ｌａｂｏｒｏ．ＡＩ,0.279
2499.T,3940.T,ノムラシステムコーポレーション,0.274
2499.T,3299.T,ムゲンエステート,0.271
2499.T,6579.T,ログリー,0.267
2499.T,3993.T,ＰＫＳＨＡ　Ｔｅｃｈｎｏｌｏｇｙ,0.262
2499.T,4264.T,セキュア,0.256
2499.T,7897.T,ホクシン,0.252
2499.T,6625.T,ＪＡＬＣＯホールディングス,0.252
2499.T,5244.T,ｊｉｇ．ｊｐ,0.251
2499.T,4169.T,ＥＮＥＣＨＡＮＧＥ,0.25
2499.T,2330.T,フォーサイド,0.247
2499.T,5965.T,フジマック,0.244
2499.T,6030.T,アドベンチャー,0.241
2499.T,429A.T,テクセンドフォトマスク,0.24
2499.T,8891.T,ＡＭＧホールディングス,0.239
2499.T,6069.T,トレンダーズ,0.237
2499.T,9782.T,ディーエムエス,0.236
2499.T,2156.T,セーラー広告,0.231
2499.T,261A.T,日水コン,0.229
2499.T,4820.T,イーエムシステムズ,0.229
2788.T,5363.T,東京窯業,0.435
2788.T,5408.T,中山製鋼所,0.379
2788.T,6291.T,日本エアーテック,0.368
2788.T,8848.T,レオパレス２１,0.368
2788.T,3201.T,日本毛織,0.367
2788.T,7427.T,エコートレーディング,0.361
2788.T,4064.T,日本カーバイド工業,0.361
2788.T,6255.T,エヌ・ピー・シー,0.361
