コード,純利益,純資産
3600,-107845000.0,9444641000.0
5856,194942000.0,2933108000.0
9885,-1012000000.0,16854000000.0
3189,-2660020000.0,12644936000.0
1897,236000000.0,19453000000.0
2484,-4971000000.0,28626000000.0
7297,,14837096000.0
6513,-83748000.0,23475140000.0
2055,310000000.0,18236000000.0
6771,235000000.0,13658000000.0
8617,-466000000.0,15723000000.0
4387,120104000.0,1394917000.0
5956,500150000.0,14698972000.0
7399,212726000.0,11741379000.0
7427,,11460668000.0
6943,-404091000.0,12700828000.0
5658,1065449000.0,51807017000.0
8013,50000000.0,6868000000.0
5900,,13206443000.0
2788,787809000.0,10268911000.0
8917,1435197000.0,40756093000.0
7879,-829234000.0,34057661000.0
5921,1447253000.0,28956235000.0
8746,295700000.0,5532916000.0
5962,227649000.0,4222909000.0
5753,964000000.0,11907000000.0
5603,798000000.0,14356000000.0
8040,236534000.0,10600317000.0
8138,629354000.0,8712096000.0
6249,,58599000000.0
4102,148628000.0,9801346000.0
7902,,8910744000.0
5923,343687000.0,20481829000.0
6155,-645000000.0,16274000000.0
3787,-285004000.0,1762611000.0
6049,169691000.0,9215607000.0
8891,975204000.0,10982545000.0
8144,,26414000000.0
6964,569572000.0,15614166000.0
3396,,19268000000.0
5280,3017703000.0,27439632000.0
5909,1103000000.0,76280000000.0
6257,,46777000000.0
8165,3940000000.0,17038000000.0
8772,,49054015000.0
8904,639446000.0,28021596000.0
4234,,20098131000.0
3261,-3112000.0,2686372000.0
7851,100114000.0,2389940000.0
9767,283501000.0,4593049000.0
7442,526983000.0,22402921000.0
9162,,9233259000.0
4624,548827000.0,17221993000.0
2388,-226643000.0,2970604000.0
5928,27798000.0,9187764000.0
7219,361443000.0,10650924000.0
7857,280418000.0,15532999000.0
6467,56477000.0,10962249000.0
7266,,52702000000.0
9914,86197000.0,3086667000.0
6228,318000000.0,12468000000.0
8995,,3983860000.0
8147,629559000.0,11898042000.0
8046,1534000000.0,30926000000.0
1994,190520000.0,10796832000.0
7624,284000000.0,13137000000.0
8119,974483000.0,13380031000.0
7229,4548000000.0,102159000000.0
9929,117025000.0,9916556000.0
4341,81000000.0,5433000000.0
7538,1189000000.0,11455000000.0
7877,185232000.0,7204022000.0
9872,551000000.0,14261000000.0
2193,741436000.0,12897326000.0
6262,964908000.0,32477524000.0
7991,4718416000.0,25110256000.0
2499,231242000.0,3732606000.0
7841,600986000.0,23297089000.0
6346,743887000.0,12286441000.0
4231,,44182094000.0
6054,-22266000.0,4172551000.0
6867,-185245000.0,3203475000.0
7887,,24412574000.0
2917,-73700000.0,11528285000.0
3439,,9982287000.0
5918,,43265000000.0
5984,984449000.0,30556144000.0
1420,673078000.0,15321096000.0
1758,462977000.0,9497839000.0
3320,1759000000.0,19472000000.0
4629,588158000.0,16520179000.0
7871,,36595000000.0
6393,1249115000.0,23796658000.0
3426,,10150417000.0
8135,2992000000.0,14552000000.0
7531,348009000.0,15978239000.0
9854,3000000.0,12012000000.0
5971,708295000.0,15656145000.0
7434,855073000.0,15388398000.0
3246,695704000.0,10660147000.0
4705,-75274000.0,4798967000.0
7670,1779000000.0,21366000000.0
5697,450913000.0,9855434000.0
7175,760709000.0,12092888000.0
4224,,19013000000.0
6342,576746000.0,6895502000.0
3420,997440000.0,21249703000.0
6694,-1728030000.0,5640992000.0
2795,408822000.0,7886028000.0
1850,,17289000000.0
3758,352000000.0,8556000000.0
7422,17478000.0,4521694000.0
3161,199093000.0,6768319000.0
5951,1161135000.0,27939955000.0
6748,1232020000.0,19058534000.0
5819,1200929000.0,19048820000.0
9972,-2594639000.0,8392111000.0
7937,1986000000.0,67799000000.0
7021,241946000.0,11232651000.0
6335,345647000.0,8161556000.0
8938,70000000.0,7838000000.0
6292,576134000.0,13216573000.0
2814,596432000.0,19294292000.0
5187,713734000.0,16332319000.0
6899,,24543306000.0
3236,1957000000.0,12173000000.0
4627,1137776000.0,24417589000.0
7997,403095000.0,4847823000.0
4360,-895000000.0,10305000000.0
7435,251788000.0,18616072000.0
7122,560000000.0,33610000000.0
5446,572167000.0,17793249000.0
6497,969459000.0,17096976000.0
3537,527412000.0,8935959000.0
5282,835467000.0,23740528000.0
8869,2897000000.0,33978000000.0
9876,1068876000.0,10542614000.0
1853,921000000.0,14900000000.0
7264,486277000.0,22069619000.0
5079,573392000.0,18189942000.0
7908,565000000.0,18981000000.0
5986,329370000.0,14541154000.0
7218,1788623000.0,24054684000.0
7521,,33965000000.0
6150,293670000.0,5216018000.0
4625,228836000.0,10351739000.0
4243,194094000.0,4469999000.0
5966,544801000.0,12253511000.0
7975,67066000.0,10978918000.0
3477,550784000.0,3973869000.0
6743,,24290459000.0
7464,229982000.0,7225074000.0
7865,-61078000.0,1679786000.0
5078,1147664000.0,21116452000.0
3639,,2175060000.0
5915,1274000000.0,31825000000.0
3297,343138000.0,4428022000.0
3054,240626000.0,3071563000.0
9895,-208268000.0,7927942000.0
6159,782936000.0,13601932000.0
3892,798698000.0,12944347000.0
4644,603026000.0,12064090000.0
4365,6830000000.0,79402000000.0
3954,1320253000.0,23450850000.0
7279,8419000000.0,175144000000.0
3131,642779000.0,7404721000.0
7486,821000000.0,20897000000.0
7985,-280180000.0,2332966000.0
7957,-2701073000.0,7968156000.0
8076,,31695420000.0
3710,261735000.0,4583304000.0
2489,252902000.0,13654889000.0
5969,77278000.0,4841986000.0
6325,566419000.0,8089489000.0
3134,1278023000.0,10570120000.0
6276,-731214000.0,1706414000.0
6797,2206550000.0,22399543000.0
7472,1231441000.0,20982178000.0
2221,,67952167000.0
3583,580136000.0,6707799000.0
6778,,6989803000.0
5945,1506382000.0,36767724000.0
3386,337000000.0,9373000000.0
9867,1080771000.0,11110907000.0
3895,672450000.0,7264884000.0
3944,315383000.0,9997890000.0
7928,47133000.0,5290967000.0
6158,435087000.0,10267097000.0
2497,1480452000.0,21173792000.0
3851,-157225000.0,7868182000.0
1793,,64863000000.0
4170,29815000.0,2983182000.0
7953,165822000.0,9518039000.0
5363,,40906348000.0
5997,460966000.0,9835816000.0
7614,944255000.0,18108822000.0
7872,-345000000.0,11909000000.0
5958,1588000000.0,20969000000.0
3953,-109789000.0,4880176000.0
3277,1294936000.0,13551397000.0
3641,-164000000.0,8896000000.0
6360,1222328000.0,9439525000.0
6907,360456000.0,9104510000.0
1376,1200256000.0,25013624000.0
2449,476168000.0,5363131000.0
2654,,6621349000.0
9414,1345307000.0,24426185000.0
3417,,30988000000.0
3597,,38326071000.0
7885,520478000.0,31906944000.0
5388,1078078000.0,21546426000.0
4829,21693000.0,4738122000.0
6485,,39752000000.0
8123,411806000.0,7087703000.0
7859,476399000.0,8206386000.0
1905,749323000.0,12991740000.0
5304,5750000000.0,73787000000.0
7896,,6312000000.0
5368,776607000.0,13697897000.0
3958,,9465016000.0
7677,-509637000.0,9364065000.0
6482,1692927000.0,35111229000.0
3513,782000000.0,22258000000.0
6919,401552000.0,15224531000.0
9425,-225658000.0,1369041000.0
8844,,49314000000.0
7565,,11730461000.0
2999,387725000.0,5769223000.0
7551,1430859000.0,17110454000.0
9820,264994000.0,4128466000.0
2700,5520514000.0,20430558000.0
7265,326533000.0,6055814000.0
4119,5026157000.0,19775501000.0
4308,550856000.0,10563692000.0
3321,1696840000.0,15675528000.0
6245,,38240538000.0
6091,,16177249000.0
7235,1422928000.0,21960756000.0
8045,,17375473000.0
6730,978000000.0,12905000000.0
6165,868000000.0,22007000000.0
8152,2586595000.0,20173014000.0
1768,500854000.0,9059125000.0
6858,395000000.0,16312000000.0
7602,-187403000.0,4608531000.0
6149,2315350000.0,18528420000.0
7446,428799000.0,7927160000.0
5871,-36000000.0,11327000000.0
7544,,3850000000.0
5464,4128000000.0,55513000000.0
7681,152777000.0,5634847000.0
8700,,7593640000.0
2385,-210696000.0,6022174000.0
3577,311712000.0,7165831000.0
6365,,27830000000.0
9478,531000000.0,9042000000.0
4628,10729000000.0,163521000000.0
3674,-329112000.0,4092619000.0
9760,-566770000.0,9310808000.0
9980,254163000.0,14629441000.0
3943,944000000.0,18658000000.0
1724,242000000.0,6208000000.0
6678,1004583000.0,14389062000.0
2329,,84866000000.0
1807,891639000.0,21342649000.0
7314,96621000.0,4156603000.0
3802,43215000.0,1801072000.0
2911,,8191427000.0
6022,38035000.0,8959351000.0
6494,105630000.0,5157009000.0
8202,-99000000.0,22686000000.0
4120,363122000.0,7452575000.0
4925,576566000.0,8927116000.0
8104,747000000.0,15976000000.0
6915,2624000000.0,40283000000.0
7847,,5042697000.0
9857,,16956756000.0
3434,-301000000.0,35460000000.0
9625,,9154646000.0
7689,-437770000.0,1039659000.0
1826,611000000.0,15521000000.0
6382,,32197562000.0
4299,1293000000.0,11782000000.0
8572,32124000000.0,653561000000.0
2735,870678000.0,13029939000.0
6882,502000000.0,24341000000.0
6894,355982000.0,3863468000.0
9845,2812000000.0,45504000000.0
2425,374023000.0,2923419000.0
6229,553410000.0,10312566000.0
6488,932983000.0,16820400000.0
3653,-77574000.0,3619667000.0
6832,,42915559000.0
4936,,8534043000.0
9253,189575000.0,1633714000.0
7487,408849000.0,19126516000.0
3816,,5101025000.0
1770,,18984444000.0
1866,3381000000.0,46659000000.0
6647,568705000.0,5158699000.0
1811,3504000000.0,96865000000.0
3435,1122961000.0,18435626000.0
4761,1145000000.0,19864000000.0
5218,1730799000.0,51932054000.0
2009,1132163000.0,36759966000.0
1847,4697000000.0,34085000000.0
8705,351184000.0,12004482000.0
7185,2229517000.0,19766604000.0
2483,723716000.0,6760747000.0
7946,60694000.0,1788952000.0
1867,1934620000.0,28999067000.0
1798,1651794000.0,15940609000.0
9475,541404000.0,13021008000.0
7228,1148821000.0,9404458000.0
9996,,26268554000.0
9339,98819000.0,3178676000.0
4918,43013000.0,2468399000.0
5449,,155985000000.0
6265,248657000.0,5996652000.0
5129,-2114000000.0,3763000000.0
3089,412655000.0,2313100000.0
5189,425918000.0,9059749000.0
6338,584879000.0,10266594000.0
8041,4527000000.0,35553000000.0
9955,1415355000.0,38853439000.0
9908,2973182000.0,29892271000.0
4406,522000000.0,17785000000.0
3766,,4616818000.0
7031,-414576000.0,1655689000.0
3437,467391000.0,7599056000.0
5458,333000000.0,4736000000.0
7567,37265000.0,4473980000.0
6034,55775000.0,4645197000.0
5906,1334649000.0,16690066000.0
7287,,216694000000.0
7922,86096000.0,8775615000.0
9906,4123829000.0,37655395000.0
6316,743000000.0,20596000000.0
5820,168237000.0,6614138000.0
6030,712507000.0,11012627000.0
8871,5014000000.0,133772000000.0
7444,1289072000.0,24776458000.0
7523,,15315854000.0
9647,610898000.0,4418340000.0
4429,355518000.0,3029016000.0
6038,307986000.0,4560642000.0
6337,427000000.0,14162000000.0
3377,12721006000.0,7017473000.0
5816,1514728000.0,27755895000.0
4591,-1018939000.0,3043632000.0
1716,1327762000.0,19230099000.0
1822,3691000000.0,71536000000.0
2481,389136000.0,5108085000.0
2693,55758000.0,7945520000.0
1981,1133684000.0,18869872000.0
6496,1730055000.0,25456649000.0
1430,1669537000.0,9760903000.0
1972,2941000000.0,27103000000.0
6918,1137953000.0,20059152000.0
8737,,17873970000.0
3512,429905000.0,20242923000.0
7527,-258153000.0,4345988000.0
7192,982664000.0,8776364000.0
6927,,16106833000.0
