コード,銘柄名,ネットキャッシュ比率,ネットキャッシュ(億円),時価総額(億円),流動資産,投資有価証券,負債,決算期,純利益,純資産,PER,PBR,市場,業種,業種大分類,規模,業種PER中央値,PER乖離率,前日終値,配当,配当利回り(%),forwardEPS,予想PER,目標株価,来期見通し(短信抜粋),短信PDF直URL,新業種
3600.T,フジックス,2.787,64.3,23.1,6719497000,1983404000,1677207000,2025-03-31,-107845000.0,9444641000.0,,0.24,スタンダード（内国株式）,繊維製品,素材・化学,-,13.9,,1691.0,50.0,2.98,,,,"これにより次期の連結業績につきましては、売上高5,660百万円（前期比3.4％増）、営業損失187百万円（前期は222百万円の損失）、経常損失88百万円（前期は122百万円の損失）、親会社株主に帰属する当期純損失114百万円（前期は123百万円の損失）を予想しております。",https://finance-frontend-pc-dist.west.edge.storage-yahoo.jp/disclosure/20260514/20260513529464.pdf,繊維・紙パルプ
7034.T,プロレド・パートナーズ,2.463,106.9,43.4,12782955000,626322000,2532736000,2025-10-31,205842000.0,6895161000.0,21.1,0.63,プライム（内国株式）,サービス業,情報通信・サービスその他,TOPIX Small 2,15.2,0.388,380.0,0.0,0.0,33.0,12.030303,,"国内のビジネスコンサルティング市場におけるニーズは引き続き高く、当社に対してもデジタル、人材育成、オペレーション領域での引き合いが強く、今後も堅調に伸びることが予想されることから、翌連結会計年度（2026年10月期）のコンサルティング事業の業績見通しにつきましては、売上高5,256百万円、営業損失493百万円、親会社株主に帰属する当期純損失521百万円と予想しております。",https://finance-frontend-pc-dist.west.edge.storage-yahoo.jp/disclosure/20251215/20251215519793.pdf,コンサルティング・BPO
5856.T,エルアイイーエイチ,2.385,20.8,8.7,5348661000,4419000,3273481000,2025-03-31,194942000.0,2933108000.0,4.5,0.3,スタンダード（内国株式）,小売業,小売,-,17.0,-0.735,8.0,0.0,0.0,,,,,,衣料・家電・専門店
9885.T,シャルレ,2.259,114.6,50.7,12234000000,2325000000,2406000000,2025-03-31,-1012000000.0,16854000000.0,,0.3,スタンダード（内国株式）,卸売業,商社・卸売,-,12.7,,342.0,8.0,2.35,,,,次期は売上高は135億円（前年同期比4.4％増）、営業利益は1億40百万円、経常利益は1億80百万円、親会社株主に帰属する当期純利益は1億10百万円を予想しております。,https://finance-frontend-pc-dist.west.edge.storage-yahoo.jp/disclosure/20260514/20260512526666.pdf,建材・資材・エネルギー卸
3189.T,ＡＮＡＰホールディングス,2.235,122.8,54.9,17952466000,0,5675106000,2025-08-31,-2660020000.0,12644936000.0,,0.43,スタンダード（内国株式）,小売業,小売,-,17.0,,123.0,0.0,0.0,,,,,https://finance-frontend-pc-dist.west.edge.storage-yahoo.jp/disclosure/20260414/20260414503780.pdf,衣料・家電・専門店
1897.T,金下建設,2.208,151.1,68.4,13074000000,8378000000,3831000000,2025-12-31,236000000.0,19453000000.0,29.0,0.35,スタンダード（内国株式）,建設業,建設・資材,-,14.6,0.986,3245.0,50.0,1.54,,,,このような状況のもと、次期の業績につきましては、受注工事高115億円、売上高105億円、営業利益1億円、経常利益3億2千万円、親会社株主に帰属する当期純利益2億円を見込んでおります。,https://finance-frontend-pc-dist.west.edge.storage-yahoo.jp/disclosure/20260206/20260205549246.pdf,ゼネコン・総合建設
7297.T,カーメイト,2.176,131.5,60.5,17195216000,2073787000,5495001000,2025-03-31,,14837096000.0,,0.41,スタンダード（内国株式）,輸送用機器,自動車・輸送機,-,13.2,,871.0,30.0,3.5,,,,"以上を踏まえ、次期の連結業績見通しとしましては、売上高15,380百万円(前年同期比5.6％増)、営業利益833百万円(前年同期比38.0％増)、経常利益886百万円(前年同期比35.7％増)、親会社株主に帰属する当期純利益569百万円(前年同期比102.7％増)となる見込みです。",https://finance-frontend-pc-dist.west.edge.storage-yahoo.jp/disclosure/20260515/20260513531589.pdf,自動車・輸送用機器
2484.T,出前館,2.129,282.2,132.5,38440000000,0,10222000000,2025-08-31,-4971000000.0,28626000000.0,,0.46,スタンダード（内国株式）,情報・通信業,情報通信・サービスその他,-,17.0,,116.0,0.0,0.0,0.76,156.57895,,こうした状況を踏まえ、2026年８月期の連結業績予想は、現時点で想定しうる範囲内において、売上高は441億円（前年比111％）（クーポン費用を売上高から減額しなかった場合の売上高489億円（前年比111％））、営業利益は△40億円を見込んでおります。,https://finance-frontend-pc-dist.west.edge.storage-yahoo.jp/disclosure/20251015/20251014572909.pdf,Webプラットフォーム・EC
6513.T,オリジン,2.103,118.8,56.5,25268259000,7711534000,18781574000,2025-03-31,-83748000.0,23475140000.0,,0.24,スタンダード（内国株式）,電気機器,電機・精密,-,19.5,,1048.0,40.0,3.72,,,,次年度の当社グループの通期業績予想につきましては、売上高280億円、損益は営業利益2億円、経常利益5億5千万円、親会社株主に帰属する当期純利益は1億円を見込んでおります。,https://finance-frontend-pc-dist.west.edge.storage-yahoo.jp/disclosure/20260512/20260511523571.pdf,民生電機・情報端末
6771.T,池上通信機,2.089,86.4,41.4,23543000000,403000000,15183000000,2025-03-31,235000000.0,13658000000.0,17.6,0.3,スタンダード（内国株式）,電気機器,電機・精密,-,19.5,-0.097,648.0,15.0,2.33,171.8,3.7543654,,次期は中東情勢をはじめとする地政学的リスクを注視する必要があるほか、金融資本市場の変動や米国の通商政策をめぐる動向による影響等にも引き続き留意が必要な状況です。,https://finance-frontend-pc-dist.west.edge.storage-yahoo.jp/disclosure/20260514/20260514533040.pdf,民生電機・情報端末
2055.T,日和産業,2.07,128.2,61.9,23625000000,950000000,11470000000,2025-03-31,310000000.0,18236000000.0,20.0,0.34,スタンダード（内国株式）,食料品,食品,-,17.6,0.136,332.0,6.0,1.75,,,,次期は先行きの見えない外国為替相場に加え、不安定な国際情勢により引き続き厳しい状況であります。来期の業績は、売上高500億円、営業利益５億円、経常利益５億円、親会社株主に帰属する当期純利益３億円を見込んでおります。,https://finance-frontend-pc-dist.west.edge.storage-yahoo.jp/disclosure/20260512/20260511523371.pdf,食品製造・飲料・酒類
8617.T,光世証券,2.02,100.0,49.5,12837000000,4607000000,6060000000,2025-03-31,-466000000.0,15723000000.0,,0.31,スタンダード（内国株式）,証券、商品先物取引業,金融（除く銀行）,-,11.9,,530.0,10.0,1.91,,,,国内景気の先行きについては、雇用・所得環境の改善や各種政策の効果が緩やかな回復を支えることが期待されますが、中東情勢の影響を注視する必要があります。,https://finance-frontend-pc-dist.west.edge.storage-yahoo.jp/disclosure/20260424/20260423509245.pdf,証券・保険・その他金融
4387.T,ＺＵＵ,2.019,48.1,23.8,5380492000,3974970000,3348316000,2025-03-31,120104000.0,1394917000.0,19.8,1.71,グロース（内国株式）,情報・通信業,情報通信・サービスその他,-,17.0,0.165,511.0,0.0,0.0,,,,2027年３月期は、ZUU Funders株式会社、株式会社COOL、株式会社ユニコーンによるファンド組成、株式会社ZUU Wealth Managementによるウェルスマネジメントサービス（金融商品仲介、保険代理）の提供等、引き続き金融子会社を活用した金融サービスの提供を中心に推進していきます。,https://finance-frontend-pc-dist.west.edge.storage-yahoo.jp/disclosure/20260515/20260515538869.pdf,SI・受託開発(中堅)
6986.T,双葉電子工業,2.014,555.1,275.7,58955000000,13343000000,12782000000,2025-03-31,,77164000000.0,,0.36,プライム（内国株式）,電気機器,電機・精密,TOPIX Small 2,19.5,,641.0,36.0,5.54,26.4,24.621212,,次期は緩やかな景気回復傾向が継続するものの、中東情勢の緊迫化をはじめとする地政学的リスクの高まりおよびそれに伴う各種コストの増加、米国の関税政策をめぐる動向など、企業を取り巻く事業環境は依然として先行き不透明な状況が続くものと考えられます。,https://finance-frontend-pc-dist.west.edge.storage-yahoo.jp/disclosure/20260512/20260511523151.pdf,民生電機・情報端末
5956.T,トーソー,1.96,97.7,49.8,16491957000,1000493000,7424353000,2025-03-31,500150000.0,14698972000.0,10.0,0.34,スタンダード（内国株式）,金属製品,建設・資材,-,11.1,-0.099,562.0,13.0,2.3,,,,次期は国内経済は雇用・所得環境の改善や各種政策等により引き続き緩やかな回復基調にて推移すると見込まれるものの、米国の通商政策や不安定な国際情勢に伴う世界的な景気下振れや原材料・エネルギー価格の高騰、為替変動など、先行きは極めて不透明な状況が続くと想定されます。,https://finance-frontend-pc-dist.west.edge.storage-yahoo.jp/disclosure/20260513/20260513527633.pdf,金属製品・金属加工
7399.T,ナンシン,1.943,74.3,38.2,9890736000,344932000,2706429000,2025-03-31,212726000.0,11741379000.0,18.0,0.33,スタンダード（内国株式）,輸送用機器,自動車・輸送機,-,13.2,0.364,568.0,20.0,3.5,,,,国際情勢の不安定化や金融政策の転換による先行き不透明感の中、物価上昇や需要の選別化が進み、今後とも収益を圧迫する状況は続くと思われます。,https://finance-frontend-pc-dist.west.edge.storage-yahoo.jp/disclosure/20260508/20260507518920.pdf,自動車・輸送用機器
7427.T,エコートレーディング,1.934,99.1,51.3,31990350000,727563000,22585846000,2025-02-28,,11460668000.0,,0.45,スタンダード（内国株式）,卸売業,商社・卸売,-,12.7,,846.0,30.0,3.55,,,,,https://finance-frontend-pc-dist.west.edge.storage-yahoo.jp/disclosure/20260410/20260331593836.pdf,建材・資材・エネルギー卸
6943.T,ＮＫＫスイッチズ,1.932,79.6,41.2,9413863000,1175166000,2272194000,2025-03-31,-404091000.0,12700828000.0,,0.32,スタンダード（内国株式）,電気機器,電機・精密,-,19.5,,4990.0,100.0,2.0,,,,次期は各国での物価上昇の継続に加え、米国における関税をはじめとする通商政策が世界経済に与える影響、ウクライナ情勢の長期化や中東情勢の緊迫化等の地政学リスク、中国の景気低迷の長期化懸念など、世界経済の不確実性が高まると見込んでおります。,https://finance-frontend-pc-dist.west.edge.storage-yahoo.jp/disclosure/20260515/20260424510300.pdf,民生電機・情報端末
5658.T,日亜鋼業,1.902,312.0,164.0,35828607000,17628222000,16963510000,2025-03-31,1065449000.0,51807017000.0,15.4,0.32,スタンダード（内国株式）,鉄鋼,鉄鋼・非鉄,-,11.0,0.4,360.0,10.0,2.74,,,,"次期は連結売上高35,000百万円、連結営業利益1,450百万円、連結経常利益2,000百万円、親会社株主に帰属する当期純利益1,200百万円を見込んでおります。",https://finance-frontend-pc-dist.west.edge.storage-yahoo.jp/disclosure/20260514/20260513530584.pdf,鉄鋼・非鉄金属
2788.T,アップルインターナショナル,1.898,92.7,48.8,17888701000,1473991000,9648113000,2025-12-31,787809000.0,10268911000.0,6.2,0.48,スタンダード（内国株式）,卸売業,商社・卸売,-,12.7,-0.512,378.0,10.0,2.65,,,,"当社グループを取り巻く事業環境は、国際情勢不安の長期化や海外経済の減速、資源価格の高騰等、国内外の経済環境は依然として先行き不透明な状況が続くものと思われます。につきましては、売上高35,856百万円、営業利益769百万円、経常利益930百万円、親会社株主に帰属する当期純利益615百万円を見込んでおります。",https://finance-frontend-pc-dist.west.edge.storage-yahoo.jp/disclosure/20260213/20260213559118.pdf,総合商社・貿易
8881.T,日神グループホールディングス,1.854,555.8,299.8,116407506000,4426309000,63924042000,2025-03-31,2057620000.0,68265328000.0,14.6,0.44,プライム（内国株式）,不動産業,不動産,TOPIX Small 2,10.6,0.377,647.0,37.0,5.76,,,,"国内経済は引き続き回復基調のまま推移することが見込まれます。こうした環境のもと、中期経営計画の最終年度となる2027年３月期の見通しにつきましては、連結売上高88,000百万円、営業利益6,000百万円、経常利益5,000百万円、親会社株主に帰属する当期純利益3,500百万円を見込んでいます。",https://finance-frontend-pc-dist.west.edge.storage-yahoo.jp/disclosure/20260512/20260406599010.pdf,不動産開発・デベロッパー
8917.T,ファースト住建,1.848,270.0,146.1,46469195000,252345000,19645907000,2025-10-31,1435197000.0,40756093000.0,10.2,0.36,スタンダード（内国株式）,不動産業,不動産,-,10.6,-0.038,1058.0,43.0,4.1,,,,次期は土地価格や建築資材価格等が高止まりし、金利も上昇傾向にある中、住宅の購入には慎重な姿勢が続いており、中低価格の戸建市場の回復はまだ時間を要するものと予想されます。,https://finance-frontend-pc-dist.west.edge.storage-yahoo.jp/disclosure/20251215/20251215520126.pdf,不動産開発・デベロッパー
5900.T,ダイケン,1.829,81.6,44.6,9885120000,1216792000,2574658000,2025-02-28,,13206443000.0,,0.34,スタンダード（内国株式）,金属製品,建設・資材,-,11.1,,800.0,25.0,3.07,,,,次期以降の経営環境につきましては、中東情勢などの地政学的リスクの高まりや人手不足と人件費の上昇から、物価、物流費などの高止まりが続く中、円安傾向の為替相場や金利の上昇などの影響も相まって、引き続き調達コストにおいて厳しい環境が見込まれます。,https://finance-frontend-pc-dist.west.edge.storage-yahoo.jp/disclosure/20260410/20260410501755.pdf,金属製品・金属加工
7879.T,ノダ,1.817,174.8,96.2,43667437000,10098306000,33256725000,2025-11-30,-829234000.0,34057661000.0,,0.28,スタンダード（内国株式）,その他製品,情報通信・サービスその他,-,13.4,,657.0,30.0,4.57,,,,"次期の連結業績見通し（2026年11月期）当連結会計年度の通期連結業績（2025年11月期）増減額増減率65,000百万円64,686百万円＋313百万円＋0.5％600 500 200△47△29△829＋647＋529＋1,029―――売上高営業利益経常利益親会社株主に帰属する当期純利益（５）利益配分に関する基本方針及び当期・次期の配当当社の利益配分に関する基本方針は、業績の状況及び配当と内部留保のバランスに配慮しながら、配当の安定性を確保するとともに、株主の皆様への利益還元を行うことです。",https://finance-frontend-pc-dist.west.edge.storage-yahoo.jp/disclosure/20260115/20260115534422.pdf,住宅設備・家具・生活用品
5921.T,川岸工業,1.816,212.2,116.8,25897119000,1937003000,6035866000,2025-09-30,1447253000.0,28956235000.0,8.1,0.4,スタンダード（内国株式）,金属製品,建設・資材,-,11.1,-0.27,4215.0,90.0,2.12,,,,"第１次中期経営計画の最終年度となる来期の完成工事高22,000百万円、営業利益1,000百万円、経常利益1,150百万円、当期純利益800百万円を見込んでおります。",https://finance-frontend-pc-dist.west.edge.storage-yahoo.jp/disclosure/20251114/20251114502533.pdf,金属製品・金属加工
6222.T,島精機製作所,1.815,568.2,313.1,74205000000,6115000000,21667000000,2025-03-31,,77713000000.0,,0.4,プライム（内国株式）,機械,機械,TOPIX Small 1,15.0,,894.0,20.0,2.17,63.7,14.489796,,今後の世界経済見通しにつきましては、緩やかな景気回復傾向にあるものの、中東情勢の緊迫化による地政学リスクの高まりなど先行きは不透明な状況が継続すると思われます。,https://finance-frontend-pc-dist.west.edge.storage-yahoo.jp/disclosure/20260508/20260508519660.pdf,産業機械・工作機械
5753.T,日本伸銅,1.798,91.7,51.0,13362000000,533000000,4567000000,2025-03-31,964000000.0,11907000000.0,5.3,0.43,スタンダード（内国株式）,非鉄金属,鉄鋼・非鉄,-,16.6,-0.681,2365.0,20.0,84.0,,,,前提よりも相場価格が上昇した場合は、販売数量が計画通りであっても売上高は増加し、また、相場差益が発生するため営業利益が計画よりも増加する一方、相場変動リスクを打ち消すための、デリバティブ取引によるデリバティブ損失を営業外費用として計上することになります。,https://finance-frontend-pc-dist.west.edge.storage-yahoo.jp/disclosure/20260513/20260511522406.pdf,鉄鋼・非鉄金属
5962.T,浅香工業,1.785,30.2,16.9,4538608000,1569285000,2622052000,2025-03-31,227649000.0,4222909000.0,7.4,0.4,スタンダード（内国株式）,その他製品,情報通信・サービスその他,-,13.4,-0.448,1740.0,50.0,2.84,,,,次期は引き続きインバウンド需要や雇用・所得環境の改善により、景気は緩やかながらも回復基調が続くことが期待されるものの、原材料やエネルギー価格の高止まりによる仕入価格の上昇や為替変動の他、地政学的リスクの長期化や国際情勢の不安定化等、見通しは依然として不透明な状況が続くものと見込まれます。,https://finance-frontend-pc-dist.west.edge.storage-yahoo.jp/disclosure/20260513/20260416505165.pdf,住宅設備・家具・生活用品
8013.T,ナイガイ,1.785,52.7,29.5,8299000000,3515000000,5487000000,2026-01-31,50000000.0,6868000000.0,59.0,0.43,スタンダード（内国株式）,繊維製品,素材・化学,-,13.9,3.245,384.0,0.0,0.0,,,,次期は雇用・所得環境の改善が期待される一方で、物価上昇の継続、為替変動、海外経済の不確実性に加え、中東情勢の動向によるエネルギー価格や物流コストへの影響などが懸念される状況にあります。,https://finance-frontend-pc-dist.west.edge.storage-yahoo.jp/disclosure/20260313/20260306577666.pdf,繊維・紙パルプ
8746.T,ｕｎｂａｎｋｅｄ,1.758,54.7,31.1,6833471000,397344000,1640154000,2025-03-31,295700000.0,5532916000.0,10.5,0.56,スタンダード（内国株式）,証券、商品先物取引業,金融（除く銀行）,-,11.9,-0.118,197.0,0.0,0.0,,,,当社グループの業績は、金融市場の動向に大きな影響を受け、適正な業績予想を行うことが非常に難しいことから、連結業績予想の開示は控えさせていただいております。,https://finance-frontend-pc-dist.west.edge.storage-yahoo.jp/disclosure/20260515/20260515538584.pdf,証券・保険・その他金融
